study_accession	verdict	confidence	body_site_signal	evidence	reasoning	host_species	n_samples	library_source	library_strategy	paper_title	tier
PRJNA1209808	UNCERTAIN	low	none	library_source: GENOMIC; library_strategy: WGS; host: Mus musculus; no body_site, isolation_source, or sample_title information provided	While the paper title suggests a gut microbiome study (Bifidobacterium pseudocatenulatum is a gut commensal), the library_source is labeled GENOMIC (not METAGENOMIC) and no explicit body site or isolation source is stated, making it impossible to confirm this is metagenomic community DNA rather than a single-organism genome sequencing study.	Mus musculus	1	GENOMIC	WGS	L-Tryptophan Produced by Bifidobacterium pseudocatenulatum NCU-08 Delays Aging in SAMP8 Mice by Activating the Sirt1/P53/P21/Rb Signaling Pathway.	REVIEW
PRJNA1209822	UNCERTAIN	low	none	library_source: GENOMIC; library_strategy: WGS; host organism: Mus musculus; no body_site, isolation_source, or sample_title fields provided	While the paper title mentions aging in SAMP8 mice and a beneficial bacterium (Bifidobacterium), the library_source is marked GENOMIC (not METAGENOMIC) and no body_site is explicitly stated; without isolation_source or sample_title confirming gut origin, this could be a single-organism genome study rather than community metagenomic sequencing, so classification cannot be determined.	Mus musculus	1	GENOMIC	WGS	L-Tryptophan Produced by Bifidobacterium pseudocatenulatum NCU-08 Delays Aging in SAMP8 Mice by Activating the Sirt1/P53/P21/Rb Signaling Pathway.	REVIEW
PRJNA1209832	UNCERTAIN	low	none	library_source: GENOMIC; library_strategy: WGS; Host body site: (none); Isolation source: (none); Sample titles: (none)	Although the paper title mentions mice and a gut-relevant bacterium (Bifidobacterium), the library_source is marked as GENOMIC (not METAGENOMIC), which typically indicates single-organism genome sequencing rather than community metagenomics, and critically, no body site (gut/fecal/intestinal/etc.) is explicitly stated in any field, making classification impossible without speculation.	Mus musculus	1	GENOMIC	WGS	L-Tryptophan Produced by Bifidobacterium pseudocatenulatum NCU-08 Delays Aging in SAMP8 Mice by Activating the Sirt1/P53/P21/Rb Signaling Pathway.	REVIEW
PRJNA1209849	GUT_WGS	high	explicit	Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; paper title explicitly studies Bifidobacterium pseudocatenulatum in mice with focus on gut microbiota effects on aging.	The biome label explicitly states 'gut metagenome', library_source is METAGENOMIC (community DNA), library_strategy is WGS (shotgun), and the paper title confirms this is a study of microbial effects on aging in mice consistent with gut microbiome research.		1	METAGENOMIC	WGS	L-Tryptophan Produced by Bifidobacterium pseudocatenulatum NCU-08 Delays Aging in SAMP8 Mice by Activating the Sirt1/P53/P21/Rb Signaling Pathway.	CONFIRMED_GUT
PRJNA1188364	UNCERTAIN	low	none	library_strategy: WGS; library_source: GENOMIC; sample titles describe 'Invertebrate sample from [Drosophila/Zaprionus species]'; no body site information provided; no explicit mention of gut, intestinal, fecal, or other microbiome sampling	While WGS metagenomic sequencing of Drosophila-associated samples is described, no body site is explicitly stated, and 'GENOMIC' library_source rather than 'METAGENOMIC' combined with absence of microbiome-specific language (gut/fecal/intestinal) leaves it unclear whether this is host genome sequencing, microbiome community sequencing, or MAGs reconstructed from either; Drosophila gut microbiome studies exist but cannot be assumed without explicit evidence.	Drosophila immigrans	37	GENOMIC	WGS	Phylogenetic and functional diversity among Drosophila-associated metagenome-assembled genomes.	REVIEW
PRJNA1225640	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S/amplicon sequencing rather than shotgun metagenomic sequencing (WGS/METAGENOMIC), disqualifying this from the GUT_WGS category despite the explicit gut body site.	Ovis aries	60	METAGENOMIC	AMPLICON	Metagenomic insights into the effects of Chive seed flavonoid on intestinal fermentation, morphology, and microbiota composition in sheep.	EXCLUDED
PRJNA1018811	NOT_METAGENOMIC	high	none	library_source: TRANSCRIPTOMIC; library_strategy: RNA-Seq	The study is RNA-Seq transcriptomics (RNA from host and/or microbiota), not shotgun metagenomics of community DNA, regardless of the intestinal context mentioned in the paper title.	Coilia nasus	1	TRANSCRIPTOMIC	RNA-Seq	Characteristics of Intestinal Microbiota and Host Gene Regulation in Coilia nasus Responding to Stress.	EXCLUDED
PRJNA949809	GUT_WGS	medium	inferred	Paper title: 'Characteristics of Intestinal Microbiota and Host Gene Regulation in Coilia nasus Responding to Stress'; library_source: METAGENOMIC; library_strategy: WGS	The paper title explicitly mentions 'Intestinal Microbiota' and the sequencing method is confirmed as shotgun metagenomic (WGS + METAGENOMIC), but the ENA records lack explicit body_site metadata, requiring inference from the paper title.	Coilia nasus	1	METAGENOMIC	WGS	Characteristics of Intestinal Microbiota and Host Gene Regulation in Coilia nasus Responding to Stress.	CONFIRMED_GUT
PRJNA1225421	GUT_WGS	high	explicit	Isolation source: 'human feces'; Biome label: 'human gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Study explicitly uses fecal samples (isolation source) from human subjects with shotgun metagenomic sequencing (WGS library_strategy, METAGENOMIC library_source), which directly identifies this as a gut microbiome study.	Homo sapiens	210	METAGENOMIC	WGS	Environmental Exposures and the Human Gut Resistome in Northwest Ecuador.	CONFIRMED_GUT
PRJNA1255302	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON library strategy indicates 16S/targeted amplicon sequencing, not shotgun metagenomics, regardless of the METAGENOMIC library_source label.		92	METAGENOMIC	AMPLICON	A suite of selective pressures supports the maintenance of alleles of a Drosophila immune peptide.	EXCLUDED
PRJNA1233886	GUT_WGS	high	explicit	ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; Isolation source(s): 'H. glaberrima eviscerated digestive system', 'H. glaberrima fecal content', 'H. glaberrima intestine', 'H. glaberrima intestine (content)'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Study explicitly targets gut microbiome using shotgun metagenomics (WGS) from digestive system, intestinal, and fecal samples of the sea cucumber Holothuria glaberrima.	Holothuria glaberrima	4	METAGENOMIC	WGS	Intestinal microbiome profile of the brown rock sea cucumber (Holothuria glaberrima) using ITS and 16S rDNA amplicons from direct mechanical, enzymatic, and chemical metagenomic extraction.	CONFIRMED_GUT
PRJNA1192515	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON sequencing (16S rRNA gene) is explicitly stated, which is not shotgun metagenomics regardless of body site or host organism.	Spodoptera frugiperda	47	METAGENOMIC	AMPLICON	Gut symbiotic bacteria enhance reproduction in Spodoptera frugiperda (J.E. Smith) by regulating juvenile hormone III and 20-hydroxyecdysone pathways.	EXCLUDED
PRJNA1149551	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON sequencing (16S rRNA gene) is explicitly stated, which is not shotgun metagenomics regardless of the metagenomic sample source label.		20	METAGENOMIC	AMPLICON	Effects of USP25 knockout on the gut microbial diversity and composition in mice.	EXCLUDED
PRJNA1182340	GUT_WGS	medium	inferred	Paper title explicitly mentions 'gut microbiome'; Host organism is Mus musculus (mouse); library_source is METAGENOMIC; library_strategy is WGS	The paper title explicitly states 'gut microbiome' and describes a shotgun metagenomic study (WGS, METAGENOMIC library source) of a mouse, but the ENA metadata fields for 'Host body site' and 'Isolation source' are empty, so the gut site is inferred from the paper title rather than explicitly stated in the structured metadata.	Mus musculus	134	METAGENOMIC	WGS	Live bacteria in gut microbiome dictate asthma onset triggered by environmental particles via modulation of DNA methylation in dendritic cells.	CONFIRMED_GUT
PRJNA1186832	GUT_WGS	high	explicit	ENA study title: 'Metagenome or environmental sample from mouse gut metagenome'; Biome label: 'mouse gut metagenome'; Isolation source: 'mouse intestine sample1' through 'mouse intestine sample105'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple explicit statements confirm shotgun metagenomic sequencing of mouse gut/intestinal samples with appropriate library source and strategy.	mouse	112	METAGENOMIC	WGS	Gut microbiota drives structural variation of exogenous probiotics to enhance colonization.	CONFIRMED_GUT
PRJNA934833	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the study involves feces from a human (gut-relevant), the library_strategy is explicitly AMPLICON, which indicates 16S rRNA gene sequencing rather than shotgun metagenomics (WGS), disqualifying it from the GUT_WGS category.	Homo sapiens	125	GENOMIC	AMPLICON	Gut microbiota drives structural variation of exogenous probiotics to enhance colonization.	EXCLUDED
PRJNA1238482	GUT_WGS	high	explicit	Isolation source: 'feces'; Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; Paper title explicitly states 'fecal bacterial microbiota'	The study explicitly identifies fecal samples from animal hosts using metagenomic sequencing (community DNA), meeting all criteria for gut metagenomics classification despite library_strategy being labeled 'OTHER' rather than 'WGS'.	snake	9	METAGENOMIC	OTHER	Characterization and comparison of the fecal bacterial microbiota in Red Back Pine Root Snake (Oligodon formosanus) and Chinese Slug-Eating Snake (Pareas chinensis).	CONFIRMED_GUT
PRJNA1150550	UNCERTAIN	low	explicit	library_strategy: RNA-Seq; library_source: METAGENOMIC; Sample titles mention 'Fecal Sample'; Isolation source mentions 'Cecal sample'	While body site is explicitly gut (fecal/cecal), the library_strategy is RNA-Seq rather than WGS/METAGENOMIC shotgun sequencing, creating a fundamental contradiction about whether this is shotgun metagenomic sequencing of community DNA.	Gallus gallus domesticus	2	METAGENOMIC	RNA-Seq	Probiotic Lactocaseibacillus casei NK1 Enhances Growth and Gut Microbiota in Avian Pathogenic Escherichia coli Challenged Broilers.	REVIEW
PRJNA1112101	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON sequencing (16S), not shotgun/WGS metagenomic sequencing, which disqualifies it from GUT_WGS classification despite explicit gut/fecal body site designation.	Mus musculus	36	METAGENOMIC	AMPLICON	Gut microbiota diversity in obese rats treated with intermittent fasting, probiotic-fermented camel milk with or without dates and their combinations.	EXCLUDED
PRJNA1202651	GUT_WGS	medium	inferred	library_source: METAGENOMIC; library_strategy: WGS; Paper title mentions 'colonic wound healing during DSS insult' (DSS is dextran sulfate sodium, a standard colonic inflammation model in mice); host organism is Mus musculus (mouse)	The study is explicitly shotgun metagenomic (WGS + METAGENOMIC library source) of mouse samples, and the paper title's mention of 'colonic wound healing' and DSS treatment strongly indicates gut/colon samples, but body site is not explicitly stated in the ENA metadata fields, so confidence is medium and body_site_signal is inferred.	Mus musculus	72	METAGENOMIC	WGS	E. coli genetically modified for purine nucleobase release promotes butyrate generation and colonic wound healing during DSS insult.	CONFIRMED_GUT
PRJEB60852	GUT_WGS	medium	inferred	Paper title: 'Gut microbiota contribute to cold adaptation in mammals-primates and ungulates'; Host organism: Rangifer tarandus platyrhynchus (reindeer); library_source: GENOMIC; library_strategy: WGS	The paper title explicitly mentions 'gut microbiota' and the host is an ungulate (reindeer), strongly suggesting a gut microbiome study, but the ENA metadata fields for body_site and isolation_source are empty, so the gut location is inferred from the paper title rather than explicitly stated in the structured metadata.	Rangifer tarandus platyrhynchus	1	GENOMIC	WGS	Gut microbiota contribute to cold adaptation in mammals-primates and ungulates.	CONFIRMED_GUT
PRJNA438286	NOT_GUT	medium	explicit	Sample titles explicitly state 'Esophagus_1month_1', 'Esophagus_1month_2', 'Esophagus_1month_3', and 'Heart tissue isolated from a male of Elaphurus davidianus'; library_source='GENOMIC' indicates single-organism genomic DNA, not metagenomic community DNA.	While the paper title mentions gut microbiota and WGS strategy is shotgun-compatible, the explicit body site labels (esophagus, heart) are non-gut tissues, and the GENOMIC library source contradicts metagenomic classification (metagenomic studies require library_source=METAGENOMIC for community DNA).	Muntiacus crinifrons	125	GENOMIC	WGS	Gut microbiota contribute to cold adaptation in mammals-primates and ungulates.	EXCLUDED
PRJNA1133968	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON sequencing (16S), not shotgun metagenomics (WGS/METAGENOMIC), so it does not meet the definition of a shotgun metagenomic study despite having a gut/stool isolation source.	Bacillota	20	METAGENOMIC	AMPLICON	Creatine-mediated ferroptosis inhibition is involved in the intestinal radioprotection of daytime-restricted feeding.	EXCLUDED
PRJNA1134280	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study used AMPLICON sequencing (16S rRNA gene targeting), not shotgun/WGS metagenomic sequencing, despite the metagenomic isolation source (stool) and metagenomic library_source label.	Bacillota	12	METAGENOMIC	AMPLICON	Creatine-mediated ferroptosis inhibition is involved in the intestinal radioprotection of daytime-restricted feeding.	EXCLUDED
PRJNA1134918	GUT_WGS	high	explicit	isolation_source: 'stool'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; paper title mentions 'intestinal radioprotection'	Shotgun metagenomic (WGS) sequencing of microbial communities from stool (explicit gut-proxy body site), confirmed by paper's focus on intestinal physiology.	Bifidobacterium animalis	12	METAGENOMIC	WGS	Creatine-mediated ferroptosis inhibition is involved in the intestinal radioprotection of daytime-restricted feeding.	CONFIRMED_GUT
PRJNA1188055	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON; Paper title specifies '16S rRNA gene-based metagenomics'; Isolation source: Fecal Matter	Although the body site is explicitly gut/fecal, the library_strategy is AMPLICON (16S rRNA gene sequencing), not shotgun/WGS metagenomic sequencing, making this a 16S amplicon study rather than shotgun metagenomics.	chicken gut metagenome	53	METAGENOMIC	AMPLICON	Fecal microbiota landscape of commercial poultry farms in Faisalabad, Pakistan: A 16S rRNA gene-based metagenomics study.	EXCLUDED
PRJEB77113	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S amplicon sequencing, not shotgun/WGS metagenomic sequencing.	Mus musculus	362	METAGENOMIC	AMPLICON	Life-long microbiome rejuvenation improves intestinal barrier function and inflammaging in mice.	EXCLUDED
PRJNA594263	GUT_WGS	high	explicit	Isolation source: 'feces'; Biome label: 'rat gut metagenome'; ENA study title includes 'rat gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'OTHER' (with paper title indicating shotgun metagenomic analysis)	Fecal isolation source combined with explicit 'gut metagenome' labels and metagenomic library source clearly identify this as a shotgun metagenomic study of rat gut microbiota.	Rattus norvegicus	18	METAGENOMIC	OTHER	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insights for the Anti-Colitis Effect of Berberine via Modulation of Gut Microbiota.	CONFIRMED_GUT
PRJNA667196	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study used AMPLICON sequencing strategy (not shotgun/WGS), which is typically 16S rRNA gene amplicon sequencing, not whole-genome shotgun metagenomic sequencing.	Mus musculus	92	METAGENOMIC	AMPLICON	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insights for the Anti-Colitis Effect of Berberine via Modulation of Gut Microbiota.	EXCLUDED
PRJNA681546	GUT_WGS	high	explicit	Biome label: 'gut metagenome'; Paper title explicitly states 'gut microbiota'; library_source: 'METAGENOMIC'; library_strategy: 'WCS' (shotgun metagenomic approach)	The study is explicitly labeled as gut metagenome with shotgun metagenomic sequencing (WCS strategy) focused on gut microbiota modulation, meeting all criteria for a shotgun WGS metagenomic study of animal gut microbiome.		10	METAGENOMIC	WCS	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insights for the Anti-Colitis Effect of Berberine via Modulation of Gut Microbiota.	CONFIRMED_GUT
PRJNA723444	GUT_WGS	high	explicit	Isolation source: 'stool'; Biome label: 'gut metagenome'; ENA study title: 'Metagenome or environmental sample from gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'POOLCLONE' (shotgun)	Explicit stool isolation source and gut metagenome designation with shotgun metagenomic sequencing (METAGENOMIC library source) clearly identify this as a shotgun WGS study of an animal gut microbiome.	Mice	17	METAGENOMIC	POOLCLONE	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insights for the Anti-Colitis Effect of Berberine via Modulation of Gut Microbiota.	CONFIRMED_GUT
PRJNA753953	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	AMPLICON library strategy indicates 16S/targeted amplicon sequencing, not shotgun metagenomics (WGS), despite the gut source being explicitly stated.	Mus musculus	18	METAGENOMIC	AMPLICON	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insights for the Anti-Colitis Effect of Berberine via Modulation of Gut Microbiota.	EXCLUDED
PRJNA769853	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study used AMPLICON library strategy (16S rRNA gene amplicon sequencing), not shotgun/WGS metagenomic sequencing, despite the biome label indicating 'gut metagenome'.	Mus musculus	22	METAGENOMIC	AMPLICON	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insights for the Anti-Colitis Effect of Berberine via Modulation of Gut Microbiota.	EXCLUDED
PRJNA789741	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S amplicon sequencing rather than shotgun metagenomics (WGS/METAGENOMIC), disqualifying this as a shotgun metagenomic study regardless of the gut context.	mice	21	METAGENOMIC	AMPLICON	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insights for the Anti-Colitis Effect of Berberine via Modulation of Gut Microbiota.	EXCLUDED
PRJNA848954	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the study involves fecal samples from a feline (gut-proxy) as explicitly stated in isolation_source, the library_strategy is AMPLICON, not WGS/METAGENOMIC shotgun sequencing, which disqualifies it from GUT_WGS classification.	feces metagenome	12	METAGENOMIC	AMPLICON	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insights for the Anti-Colitis Effect of Berberine via Modulation of Gut Microbiota.	EXCLUDED
PRJNA982533	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S rRNA gene sequencing rather than shotgun metagenomics (WGS/METAGENOMIC), disqualifying this from GUT_WGS classification despite explicit gut body site identification.	C57BL/6	15	METAGENOMIC	AMPLICON	Absolute Quantitative Metagenomic Analysis Provides More Accurate Insights for the Anti-Colitis Effect of Berberine via Modulation of Gut Microbiota.	EXCLUDED
PRJNA1026909	GUT_WGS	high	explicit	Biome label: 'mouse gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	The biome label explicitly identifies this as 'mouse gut metagenome', library_source confirms metagenomic community DNA, and library_strategy confirms WGS shotgun approach on host Mus musculus.	Mus musculus	4	METAGENOMIC	WGS	Dietary protein source alters gut microbiota composition and function.	CONFIRMED_GUT
PRJNA1225847	UNCERTAIN	low	inferred	Paper title mentions 'parasite-gut microbiome-shrimp' axis; however, no explicit body site stated in metadata fields (Host body site: none, Isolation source: none). ENA sample title and biome label only say 'crustacean metagenome' without specifying gut.	While the paper title strongly suggests gut microbiome sampling, the structured metadata lacks explicit confirmation of body site, and WGS metagenomic classification alone does not distinguish gut from other crustacean sites without stated isolation source or body site field.	Penaeus vannamei	24	METAGENOMIC	WGS	Pathogenic mechanisms of Enterocytozoon hepatopenaei through the parasite-gut microbiome-shrimp ( Litopenaeus vannamei) physiology axis.	REVIEW
PRJNA703475	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	AMPLICON sequencing (16S) is explicitly stated, which is not shotgun metagenomics (WGS) despite the METAGENOMIC library_source designation.	Mus musculus	28	METAGENOMIC	AMPLICON	Maternal high-fat diet disrupts intestinal mucus barrier of offspring by regulating gut immune receptor LRRC19.	EXCLUDED
PRJNA1146191	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is AMPLICON (not WGS/METAGENOMIC), which indicates 16S rRNA gene sequencing rather than shotgun metagenomics, despite the paper title mentioning 'gut microbiome' and host being forest-dwelling ungulates.	Moschus berezovskii	28	GENOMIC	AMPLICON	Gut microbiome reveals the trophic variation and significant adaption of three sympatric forest-dwelling ungulates on the eastern Qinghai-Xizang Plateau.	EXCLUDED
PRJNA1146968	GUT_WGS	high	explicit	Paper title explicitly states 'Gut microbiome'; library_source='METAGENOMIC'; library_strategy='WGS'; host organisms are forest-dwelling ungulates (Capricornis sumatraensis, Cervus albirostris, Moschus berezovskii)	The paper title explicitly identifies this as a gut microbiome study using shotgun metagenomic sequencing (WGS) of animal hosts.	Moschus berezovskii	13	METAGENOMIC	WGS	Gut microbiome reveals the trophic variation and significant adaption of three sympatric forest-dwelling ungulates on the eastern Qinghai-Xizang Plateau.	CONFIRMED_GUT
PRJNA1173238	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the study involves fecal samples from cattle (Bos taurus), the library_strategy is explicitly AMPLICON, which indicates 16S rRNA gene sequencing rather than shotgun metagenomics (WGS/METAGENOMIC), disqualifying it from the GUT_WGS category.	Bos taurus	32	METAGENOMIC	AMPLICON	Analysis of the fecal microbiome and metabolome in dairy cows with different body condition scores.	EXCLUDED
PRJNA686215	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON library strategy (16S), not shotgun/WGS metagenomics, which disqualifies it from GUT_WGS classification despite explicit gut microbiome labeling.	mouse	89	METAGENOMIC	AMPLICON	Effects of post-adulthood environmental hygiene improvement on gut microbiota and immune tolerance in mice.	EXCLUDED
PRJNA1132597	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which is 16S/amplicon sequencing, not shotgun metagenomics (WGS/METAGENOMIC), therefore this does not qualify as a shotgun metagenomic study regardless of the gut source material.	Elaphurus davidianus 3	3	METAGENOMIC	AMPLICON	Characterization and Optimization of Cellulose-Degrading Bacteria Isolated from Fecal Samples of Elaphurus davidianus Through Response Surface Methodology.	EXCLUDED
PRJNA1214001	GUT_WGS	medium	inferred	Paper title mentions 'Gastrointestinal Function'; library_source=METAGENOMIC; library_strategy=WGS; biome_label=metagenome	The paper title explicitly references 'Gastrointestinal Function' and the study uses shotgun metagenomic sequencing (WGS + METAGENOMIC), strongly suggesting a gut microbiome study, but the actual body site is not stated in metadata fields (isolation_source, host_body_site are absent) so the gut association is inferred from the title rather than explicitly declared in structured fields.	rat	17	METAGENOMIC	WGS	Alteration of Gastrointestinal Function and the Ameliorative Effects of Hericium erinaceus Polysaccharides in Tail Suspension Rats.	CONFIRMED_GUT
