study_accession	verdict	confidence	body_site_signal	evidence	reasoning	clade	paper_title	old_verdict	tier
PRJNA312520	NOT_TARGET	high	explicit	The study lists Gastropoda (gastropods/snails) as the tagged clade, but the title emphasizes 'Lizard gut microbiota' and the host organisms list multiple lizard species (Liolaemus parvus, Liolaemus ruibali, Phymaturus williamsi) alongside plants, arthropods, and gastropods. The biome labels include 'gut metagenome' but gastropods appear to be incidental hosts in a study primarily focused on lizard gut microbiomes.	While this is genuinely a gut WGS metagenomic study, gastropods are not the primary subject—lizards are—making gastropods an incidental host in a multi-host survey.	Gastropods (beyond current)	Lizard gut microbiota Targeted loci environmental	KEEP	EXCLUDED
PRJNA365078	GUT_WGS	medium	inferred	Title explicitly states 'Marine gutless worms symbiont microbial communities' and mentions 'Inanidrilus sp.' (a known gutless polychaete); the term 'symbiont microbial communities' in gutless worms refers to the bacterial symbionts that replace the gut microbiome function in these organisms; metagenome approach indicated by 'metaG metagenome' designation.	This is a shotgun metagenomic study of microbial communities from a gutless annelid (Inanidrilus), where the symbiotic bacteria functionally replace a traditional gut microbiome, making this a legitimate gut-equivalent microbiome study of the tagged animal.	Annelids	Marine gutless worms symbiont microbial communities from Oahu, Hawaii - Inanidrilus sp. 2 OAHU.JWI-42 metaG metagenome	DROP	CONFIRMED_GUT
PRJNA365079	GUT_WGS	medium	inferred	Title explicitly states 'Marine gutless worms symbiont microbial communities' and mentions 'Inanidrilus sp.' which are known gutless marine annelids; the term 'gutless worms symbiont' indicates this is studying the microbial symbionts of these worms, which reside in their body cavity as a functional equivalent to a gut microbiome; metagenome designation confirms shotgun/WGS approach.	This is a shotgun metagenomic study of annelid symbiont microbial communities that function as the gut microbiome equivalent in gutless worms, making it a genuine gut-analog microbiome study of the tagged animal.	Annelids	Marine gutless worms symbiont microbial communities from Oahu, Hawaii - Inanidrilus sp. 2 OAHU.JWI-54 metaG metagenome	DROP	CONFIRMED_GUT
PRJNA365080	GUT_WGS	medium	inferred	Title explicitly states 'Marine gutless worms symbiont microbial communities' and 'annelid metagenome' biome label; the term 'gutless worms' refers to annelids that lack a traditional gut but harbor symbiotic microbial communities in their tissues/body cavity, which is functionally analogous to a gut microbiome study.	This is a shotgun metagenomic study of symbiotic microbial communities from annelid hosts, where the body site is the annelid's internal microbial symbiont habitat (functionally similar to a gut microbiome despite the absence of a traditional digestive tract).	Annelids	Marine gutless worms symbiont microbial communities from Oahu, Hawaii - Inanidrilus sp. 2 OAHU.JWI-49 metaG metagenome	DROP	CONFIRMED_GUT
PRJNA1248212	NOT_GUT	high	explicit	Biome label explicitly states 'soil metagenome'; title indicates study of 'soil nematode communities' not animal gut microbiota	This is a soil-based metagenomic study of nematode communities, not a gut microbiome study of an animal host.	Nematodes	The effect of flavonoids on soil nematode communities	DROP	EXCLUDED
PRJNA1252374	NOT_METAGENOMIC	high	explicit	Title explicitly states '16S- amplicon based gut microbial metagenomics' - this is 16S amplicon sequencing, not shotgun/WGS metagenomic sequencing.	The study uses 16S amplicon-based methods rather than shotgun or whole-genome sequencing approaches, which disqualifies it from the WGS metagenomic classification despite the gut microbiome subject matter.	Nematodes	16S- amplicon based gut microbial metagenomics of Cruznema sp. NTM 2021 (phylum Rhabdita)	KEEP	EXCLUDED
PRJEB36857	NOT_TARGET	high	explicit	Study is primarily a human microbiome project (title 'MG_baby timeseries', biome labels dominated by 'human gut metagenome', 'human milk metagenome', 'human oral metagenome', etc., body sites include human-specific sites like areola, mammary gland, vagina). The host organism list shows Homo sapiens as the primary/repeated host, with numerous other animals (Cetaceans, Ailuropoda, Aepyceros, etc.) appearing to be artifact entries or incidental. The study was originally tagged as 'Cetaceans' but the actual focus is human microbiome across multiple body sites.	This is a human microbiome study where the tagged cetacean clade appears incidental or erroneous in the host list; the study is not primarily about cetacean gut microbiomes.	Cetaceans	MG_baby timeseries	KEEP	EXCLUDED
PRJEB14489	GUT_WGS	high	inferred	Paper title explicitly states 'Gut microbiota of phyllostomid bats' and lists multiple bat species (Anoura cultrata, Artibeus jamaicensis, Carollia brevicauda, Desmodus rotundus, Glossophaga soricina, etc.) spanning dietary breadth; biome labels include 'bat metagenome' and 'metagenome'; the study is clearly focused on bat gut microbiota composition across diet types.	The title explicitly identifies this as a gut microbiota study of phyllostomid bats, bats are the primary subjects (not incidental), and shotgun metagenomic data of gut is the standard approach for such studies.	Bats	Gut microbiota of phyllostomid bats that span a breadth of diets	KEEP	CONFIRMED_GUT
PRJNA565775	GUT_WGS	medium	explicit	Biome labels explicitly include 'feces metagenome' and 'gut metagenome'; host organism is Chiroptera (bats); study title 'Virome of animals' suggests comprehensive viral metagenomics; not flagged as multi-host survey.	The study is a shotgun metagenomic analysis of bat fecal/gut samples, making it a genuine gut microbiome study of the tagged animal (Chiroptera), though the virome focus and lack of abstract create moderate uncertainty about primary scope.	Bats	Virome of animals	KEEP	CONFIRMED_GUT
PRJNA1269778	GUT_WGS	high	explicit	Paper title explicitly states 'Bat Guano' and biome label explicitly lists 'bat gut metagenome'; host organism is Chiroptera (bats), which matches the tagged clade	This is a shotgun metagenomic study of bat (Chiroptera) fecal/guano microbiome, with the tagged animal as the primary subject of investigation.	Bats	Microbiome Characterization of Bat Guano from Camino del Hierro, Arribes del Duero Natural Park, Spain	KEEP	CONFIRMED_GUT
PRJNA325503	NOT_METAGENOMIC	high	explicit	Title explicitly states 'amplicon sequencing' and biome label lists 'gut metagenome', but the methodology is DNA minibarcoding using amplicon sequencing, which is a targeted amplicon approach, not shotgun/WGS metagenomic sequencing.	This study uses amplicon sequencing (minibarcoding) rather than shotgun WGS metagenomics, making it ineligible despite the gut origin of samples (guano).	Bats	Chiropteran DNA minibarcoding using amplicon sequencing from guano	KEEP	EXCLUDED
PRJNA84289	NOT_METAGENOMIC	high	none	Title specifies '16S rRNA Targeted Locus' and abstract mentions 'Microbiome analysis' using metagenomic methods, but 16S rRNA gene sequencing is amplicon-based (targeted locus) sequencing, not shotgun/WGS metagenomic sequencing.	This is a 16S rRNA amplicon study, not shotgun or whole-genome sequencing metagenomic study.	Bats	Chiropteran Mucosal 16S rRNA Targeted Locus	KEEP	EXCLUDED
PRJNA379515	NOT_GUT	high	none	Title states 'Virome analysis for identification of novel mammalian viruses in bats' with no mention of gut or intestinal samples; biome label 'bat metagenome' is non-specific; no body site information provided; study appears focused on viral discovery in bats generally, not specifically gut microbiome.	This is a virome study of bats without explicit gut site specification or gut-related language, making it a non-gut metagenomics study.	Bats	Virome analysis for identification of novel mammalian viruses in bats from southeast China	DROP	EXCLUDED
PRJNA525109	UNCERTAIN	low	inferred	Biome label lists 'gut metagenome' but paper title focuses on 'community identification: comparing genetic efficacy vs traditional survey techniques' with no explicit mention of gut microbiome analysis. No abstract provided. Host is Chiroptera (bats), which matches the tagged clade.	The gut metagenome label suggests this may be a gut study, but the title emphasizes taxonomic identification methodology rather than microbiome characterization, and lack of abstract makes it impossible to confirm the study is genuinely about bat gut microbiome versus potentially using gut samples only as a specimen source for species identification.	Bats	Bat community identification: comparing genetic efficacy vs traditional survey techniques.	KEEP	REVIEW
PRJNA464362	NOT_TARGET	high	inferred	Study is titled 'Metabarcoding of Amazonia' and includes 12 diverse host organisms (birds, mammals, humans, rodents) plus multiple environmental biomes (freshwater, sediment, soil). Chiroptera (bats) are listed as one of many hosts among birds, carnivores, humans, and rodents in what appears to be a broad environmental/biodiversity survey. The biome labels include environmental samples (sediment, soil, freshwater) alongside fecal metagenome, indicating this is a multi-host, multi-biome study where bats are incidental rather than a primary focus.	This is a large multi-host survey where bats are one of many incidental organisms sampled in an Amazonian biodiversity metabarcoding study, not a dedicated gut microbiome study of bats.	Bats	Metabarcoding of Amazonia	KEEP	EXCLUDED
PRJNA464356	NOT_METAGENOMIC	high	none	The paper is about 'Genomic profiling of four cultivated Candidatus Nitrotoga spp.' - a genomic study of specific bacterial strains, not a metagenomic study. The abstract describes isolation and cultivation of NOB (nitrite-oxidizing bacteria), which is genomics of pure cultures, not shotgun metagenomic sequencing of microbial communities.	This is a cultivar genomic profiling study of individual bacterial taxa, not a shotgun metagenomic survey of any animal's microbiome.	Bats	metagenome Targeted loci environmental	KEEP	EXCLUDED
PRJNA218570	GUT_WGS	high	explicit	Paper title explicitly states 'Bat feces'; biome label explicitly lists 'gut metagenome'; host organism is Chiroptera (bats); not flagged as multi-host survey.	This is a straightforward shotgun metagenomic study of bat (Chiroptera) fecal/gut microbiome with explicit body site and biome labeling.	Bats	Bat feces Random survey	KEEP	CONFIRMED_GUT
PRJNA685292	NOT_METAGENOMIC	high	none	The study title explicitly references testing 'markers (ITS1, ITS2, LSU D1D2 and RPB2)' which are fungal/eukaryotic ribosomal markers used in amplicon/barcode sequencing, not whole-genome shotgun metagenomic sequencing. The focus on characterizing microbial communities in 'food ecosystems' and 'synthetic metagenome' indicates this is about environmental/food samples, not an animal gut microbiome.	This is an amplicon-based fungal marker study of food ecosystems, not a shotgun/WGS metagenomic study of any animal's gut microbiome.	Fruit fly (Drosophila)	Testing markers (ITS1, ITS2, LSU D1D2 and RPB2) to characterize microbial communities in food ecosystems using metagenomics approach	MANUAL_REVIEW	EXCLUDED
PRJNA705894	NOT_GUT	high	none	Title states 'Viral metagenomics of Belgian mosquitoes' with no mention of gut, intestinal, or digestive tract sampling. Host organisms listed are mosquito species (Aedes cinereus, Culex modestus, Culex pipiens, Culicidae family). No body site information provided. This appears to be a viral metagenomic study of mosquitoes, likely from whole organisms or environmental samples, not specifically from the gut microbiome.	While this is a metagenomic study of animals (mosquitoes), there is no evidence it targets the gut microbiome specifically; the absence of body site specification combined with the title's focus on 'viral metagenomics' suggests this is likely whole-organism or environmental viral analysis rather than gut-specific sampling.	Mosquitoes	Viral metagenomics of Belgian mosquitoes	DROP	EXCLUDED
PRJNA768434	NOT_METAGENOMIC	high	explicit	Paper title states 'Amplicon-based metagenomic analysis' and biome label includes 'feces metagenome', but amplicon-based sequencing (16S/ITS/marker gene) is not shotgun/WGS metagenomic sequencing.	This is an amplicon-based study, not a shotgun/WGS metagenomic study, so it does not meet the inclusion criteria regardless of the gut body site.	Mosquitoes	Amplicon-based metagenomic analysis of mosquito excreta	KEEP	EXCLUDED
PRJNA802710	UNCERTAIN	low	none	Host organism is Culicidae (mosquitoes); biome labels list only viral species (Cell fusing agent virus, Phasivirus phasiense, Tesano Aedes virus) with no body site information provided; no paper title, abstract, or body site metadata available to confirm whether this is a gut study or what the primary focus is.	Without title, abstract, or explicit body site information, and with only viral biome labels present, it is impossible to determine whether this is a shotgun metagenomic study of mosquito gut microbiota versus some other mosquito-associated virome study.	Mosquitoes		DROP	REVIEW
PRJNA1187880	NOT_METAGENOMIC	high	none	Title states '16S rRNA Raw sequence reads' - this is amplicon sequencing, not shotgun/WGS metagenomic sequencing	16S rRNA gene sequencing is amplicon-based molecular profiling, not whole-genome shotgun metagenomics, regardless of the gut microbiome context.	Mosquitoes	16S rRNA Raw sequence reads	MANUAL_REVIEW	EXCLUDED
PRJNA1248132	NOT_GUT	high	none	Title explicitly states 'Environmental DNA Dataset from Mosquito Habitat Water Containers' - the study is about water containers (environmental samples), not mosquito gut microbiome. Biome label 'mosquito metagenome' is generic and does not specify gut site.	This is a metagenomic study of mosquitoes but targets environmental water habitat samples, not animal gut microbiome.	Mosquitoes	Environmental DNA Dataset from Mosquito Habitat Water Containers in Jakarta Indonesia	MANUAL_REVIEW	EXCLUDED
PRJNA1036017	GUT_WGS	medium	inferred	Title mentions 'Oulema spp. microbiome' in context of insect survival after insecticide treatment; Oulema is a genus of leaf beetles (Coleoptera); the study focuses on microbiome contribution to host physiology/survival, which is a typical gut microbiome research context for insects; biome label 'insect metagenome' suggests environmental microbiome sampling but combined with the functional survival endpoint and single-host focus, this is most consistent with gut microbiome study.	The study appears to investigate how the microbiome of a beetle genus affects insecticide resistance/survival, a classic application of gut microbiome research in insects, though body site is not explicitly stated.	Beetles	Contribution of the Oulema spp. microbiome to insect survival rates after insecticide treatment	MANUAL_REVIEW	CONFIRMED_GUT
PRJNA1169755	NOT_METAGENOMIC	high	none	Title 'Cell shape affects bacterial colony growth under physical confinement' indicates an in vitro bacterial growth study, not a metagenomic survey of microbiomes. The biome label 'insect metagenome' appears to be a metadata artifact, but the actual study design is about bacterial physiology under confined conditions.	This is an experimental microbiology study of bacterial colony growth mechanics, not a shotgun/WGS metagenomic study of any animal's microbiome.	Beetles	Cell shape affects bacterial colony growth under physical confinement	MANUAL_REVIEW	EXCLUDED
PRJNA849724	NOT_GUT	high	none	Study is about Cordyceps militaris (a fungus) in soil/environmental samples from Liaoning province; biome labels list 'insect metagenome; soil metagenome' with no gut-specific body site indicated; Lepidoptera (butterflies/moths) appear to be incidental hosts or the fungal parasite's target, not the primary focus of gut microbiome characterization.	This is a metagenomics study of environmental/fungal samples, not a gut microbiome study of Lepidoptera.	Butterflies and moths	High-throughput data of Cordyceps militaris in Liaoning province in year 2020 and 2021	MANUAL_REVIEW	EXCLUDED
PRJNA1077668	NOT_GUT	high	none	Study focuses on 'Cordyceps militaris' fungal data in Lepidoptera; Cordyceps is a fungal parasite/pathogen of insects, not a gut microbiome study. The title and biome label ('insect metagenome') indicate fungal pathogen characterization rather than gut microbial community analysis.	This is a fungal metagenomics study of a pathogenic/parasitic organism infecting Lepidoptera, not a characterization of the host's gut microbiome.	Butterflies and moths	High-throughput fungal data of Cordyceps militaris in Liaoning province in 2019-2023.	MANUAL_REVIEW	EXCLUDED
PRJNA750668	NOT_TARGET	high	explicit	Study title is 'the microbiota of insect and plants' with biome labels including both 'gut metagenome' and 'plant metagenome'. Host list is heavily dominated by plants (Bambusa, Phragmites, Phyllostachys, Populus, Fargesia, etc.) with diverse insect taxa listed. Tagged clade is 'Butterflies and moths' (Lepidoptera), but Lepidoptera represent only one family among many insects and the study is primarily about plant microbiota based on the substantial plant host list.	While the study includes gut metagenomics and some insect hosts, it is primarily a plant microbiota study with insects as incidental samples, making Lepidoptera (the tagged clade) a trace host rather than a genuine study subject.	Butterflies and moths	the microbiota of insect and plants	KEEP	EXCLUDED
PRJNA965898	NOT_GUT	high	none	Study title explicitly mentions 'Cordyceps militaris' (a fungus), and biome labels include 'soil metagenome' and 'insect metagenome' with no gut-specific body site mentioned. The study is primarily about a fungal pathogen in soil/insects, not the Lepidoptera gut microbiome.	This is a metagenomic study of Lepidoptera but focused on a fungal pathogen in soil/insect environments rather than gut microbiome.	Butterflies and moths	High-throughput data of Cordyceps militaris in Liaoning province in 2022	MANUAL_REVIEW	EXCLUDED
PRJNA1250450	NOT_GUT	high	explicit	Biome label explicitly states 'skin metagenome'	This is a metagenomic study of a cetacean (Tursiops erebennus), but the body site is skin, not gut.	Cetaceans		DROP	EXCLUDED
PRJNA901878	UNCERTAIN	low	none	Study lists 40+ diverse mammalian hosts (bats, rodents, carnivores, primates, ungulates) with biome label 'viral metagenome'; no paper title, abstract, or explicit body site information provided; flagged as multi-host survey.	Without title, abstract, or body site metadata, cannot determine if this is a gut microbiome study or a multi-host viral surveillance project where bats are incidental.	Bats		DROP	REVIEW
PRJEB91453	NOT_GUT	high	explicit	Paper title explicitly states 'dental calculus samples' - this is an oral/dental microbiome study, not a gut microbiome study. The study examines metagenomic library preparation methods from dental calculus (tartar) across diverse mammals.	Despite the multi-host survey including a sirenian (dugong), this is a dental calculus metagenomics study, not a gut microbiome study.	Sirenians	Host traits impact the outcome of metagenomic library preparation from dental calculus samples across diverse mammals	MANUAL_REVIEW	EXCLUDED
PRJNA810306	NOT_METAGENOMIC	high	explicit	Paper title explicitly states '16Sr RNA gene sequencing' which is amplicon/marker gene sequencing, not shotgun/WGS metagenomic sequencing	This is a 16S rRNA amplicon study, not a shotgun/WGS metagenomic study, despite being labeled as gut metagenome in the biome field.	Sirenians	Archaeal and bacterial 16Sr RNA gene sequencing from the gut microbiota of a wide range of animals	KEEP	EXCLUDED
PRJNA303105	GUT_WGS	high	explicit	Paper title explicitly states 'Manatee rectal bacteria Metagenome'; biome label explicitly lists 'gut metagenome'; host is Trichechus manatus (manatee, a sirenian); rectal site is a gut-proxy location.	This is a shotgun metagenomic study of rectal (gut-proxy) microbiota from manatees, the primary subject, with explicit identification of both the method and body site.	Sirenians	Manatee rectal bacteria Metagenome	KEEP	CONFIRMED_GUT
PRJNA887424	NOT_TARGET	high	explicit	Study is tagged as 'clade: Sirenians' but the host list contains NO sirenians (manatees, dugongs). The extensive list includes herbivores (ungulates, camelids, equids, elephants, giraffes, rhinos, etc.) but no sirenian species. The biome label 'feces metagenome' confirms gut methodology, but the tagged animal (Sirenian) is not present in the study.	This is a multi-host herbivorous microbiome study where sirenians are not among the sampled hosts, making the tagged clade incidental/absent rather than a genuine study subject.	Sirenians	Patterns and determinants of the global herbivorous Mycobiome	KEEP	EXCLUDED
PRJNA794207	GUT_WGS	high	explicit	Paper title: 'Galapagos Penguin Gut Microbiome'; Biome labels include 'gut metagenome'; Host organism is Spheniscus mendiculus (Galapagos penguin); Not flagged as multi-host survey.	This is explicitly a gut metagenomics study of the Galapagos penguin as the primary subject, with clear gut-site designation and shotgun/WGS methodology implied by metagenome labels.	Penguins	Galapagos Penguin Gut Microbiome	KEEP	CONFIRMED_GUT
PRJNA757721	GUT_WGS	medium	inferred	Title references 'microbiome' of African Penguin and compares it to 'wild marine mammals and birds'; the study is specifically about the penguin as the primary subject (not incidental); penguin microbiome studies typically focus on gut/fecal samples as the standard body site, though no explicit body site is stated in the available metadata	The paper explicitly studies the microbiome of the African Penguin as a primary subject, and while the body site is not explicitly stated, microbiome studies of birds standardly examine gut/fecal samples; the tagged animal (penguin) is the genuine focus, not incidental.	Penguins	The microbiome of the managed African Penguin (Spheniscus demersus) resembles that of wild marine mammals and birds	DROP	CONFIRMED_GUT
PRJNA1200941	NOT_METAGENOMIC	high	explicit	Title explicitly states '16S rRNA amplicon sequencing' which is amplicon/marker-gene sequencing, not shotgun/WGS metagenomic sequencing	This is a 16S rRNA amplicon study, not a shotgun/WGS metagenomic study, despite being a multi-host gut microbiome survey.	Penguins	16S rRNA amplicon sequencing of faecal samples from captive animal hosts	KEEP	EXCLUDED
PRJNA704214	GUT_WGS	high	explicit	Title explicitly states 'gut microbiota in Chinstrap penguins'; biome label states 'feces metagenome'; host organism is Pygoscelis antarcticus (Chinstrap penguin); study is not flagged as multi-host survey.	This is a straightforward shotgun metagenomic study of gut microbiota (fecal sampling) in the target animal (penguins), with the tagged clade being the primary focus of the research.	Penguins	Age-related variations in gut microbiota in Chinstrap penguins (Pygoscelis antarctica) reveal differences in food metabolism	KEEP	CONFIRMED_GUT
PRJNA956456	GUT_WGS	high	inferred	Title explicitly states 'Bacterial Microbiome of Gentoo Penguins'; biome labels include 'gut metagenome'; the study focuses on Pygoscelis papua (Gentoo penguin) and related penguin species as primary subjects.	This is a shotgun metagenomic study of penguin gut microbiomes where the tagged animal (Gentoo penguin) is a genuine primary subject, not incidental to a multi-host survey.	Penguins	The Influence of Biotic and Abiotic Factors on the Bacterial Microbiome of Gentoo Penguins (Pygoscelis papua) in Their Natural Environment	KEEP	CONFIRMED_GUT
PRJNA555609	NOT_GUT	high	none	Title states 'Viral metagenomic of penguins from Antarctica' with focus on virus discovery ('Pingu virus: A new picornavirus'). No body site is specified. The biome label is 'bird metagenome' without gut specification. This is a viral metagenomic study, not a microbiome study of the gut ecosystem.	This is a viral metagenomic study focused on virus discovery in penguins, not a shotgun/WGS study of gut microbiota composition and function; body site is unspecified and likely non-gut.	Penguins	Viral metagenomic of penguins from Antarctica	KEEP	EXCLUDED
PRJNA1224211	NOT_METAGENOMIC	high	none	Title explicitly states '16S metagenome' and biome label is 'bird metagenome', indicating 16S rRNA amplicon sequencing, not shotgun/WGS metagenomic sequencing.	This is a 16S amplicon study, not shotgun/WGS metagenomics, so it does not meet the inclusion criteria regardless of body site.	Penguins	Subantarctic marine bird 16S metagenome Raw sequence reads	DROP	EXCLUDED
PRJEB3384	GUT_WGS	high	inferred	Paper title explicitly states 'Gastrointestinal Microbiota of Little Penguins (Eudyptula minor)' and host organism is the single tagged animal Eudyptula minor with no multi-host survey flag.	The title directly indicates this is a gastrointestinal microbiota study of the tagged penguin species during development, making it a genuine gut microbiome study of the target animal.	Penguins	Variation in the Gastrointestinal Microbiota of Little Penguins (Eudyptula minor) During Development	KEEP	CONFIRMED_GUT
PRJNA437674	NOT_METAGENOMIC	high	none	The biome labels list parasitic organisms (Babesia, Plasmodium, Leishmania, etc.) and the study title is 'Universal Parasite Detection', indicating this is a parasite detection/genomics study rather than microbiome metagenomic sequencing. No body site information provided, and the massive host list (40+ species) with parasite detection focus suggests this is a diagnostic/pathogen screening project, not gut microbiome analysis.	This is a parasite detection study across multiple host species, not a shotgun metagenomic study of any animal's microbiome.	Penguins	Universal Parasite Detection	MANUAL_REVIEW	EXCLUDED
PRJEB40660	GUT_WGS	high	explicit	Paper title explicitly states 'fecal samples from Magellanic penguins'; body site listed as 'feces'; host organism is Spheniscus magellanicus (Magellanic penguin); not flagged as multi-host survey	This is a shotgun metagenomic study of fecal/gut samples from the tagged animal (Magellanic penguin) as the primary subject, meeting all criteria for a gut microbiome study.	Penguins	Viral metagenomics on fecal samples from Magellanic penguins	KEEP	CONFIRMED_GUT
PRJNA972831	NOT_GUT	medium	none	Title explicitly states 'body site microbiota' (plural sites) for penguin species, with no specification of gut as the primary body site; abstract absent; body sites field is empty	While this is a metagenomic study of the tagged penguin animals, the title indicates multiple body sites were sampled, and without explicit evidence that gut is the primary or sole focus, it cannot be confidently classified as a gut-specific study.	Penguins	Magellan and King penguin body site microbiota	MANUAL_REVIEW	EXCLUDED
PRJNA1225745	NOT_GUT	high	explicit	Paper title explicitly states 'feather microbiota' - the study focuses on feather microbiota, not gut/intestinal microbiota of Magellanic penguins.	Although this is a metagenomic study of the tagged animal (Magellanic penguin), it targets feather microbiota rather than gut microbiota, so it does not meet the gut-specific criterion.	Penguins	Magellanic penguin feather microbiota across phenological and geographical factors	DROP	EXCLUDED
PRJNA544469	GUT_WGS	high	explicit	Paper title explicitly states 'cloacal microbiota' of Magellanic Penguins; biome label confirms 'gut metagenome'; cloacal samples serve as gut-proxy in birds	This is a shotgun/WGS metagenomic study of the cloacal (gut-proxy) microbiota in wild Magellanic Penguins, the tagged animal, with no indication of multi-host incidental inclusion.	Penguins	Characterization of the cloacal microbiota of wild Magellanic Penguins	KEEP	CONFIRMED_GUT
PRJNA689088	GUT_WGS	high	explicit	Paper title explicitly states 'fecal microbiota' and biome label is 'feces metagenome'; host organism is Pygoscelis papua (Gentoo penguin), which is the tagged clade and primary subject of the study; single-host study focused on sexual niche segregation effects on gut microbiota composition.	This is a shotgun/WGS metagenomic study of fecal (gut-proxy) microbiota from the tagged penguin species as the primary research subject.	Penguins	Differences in the fecal microbiota due to the sexual niche segregation of captive Gentoo penguins Pygoscelis papua	KEEP	CONFIRMED_GUT
