study_accession	verdict	confidence	body_site_signal	evidence	reasoning	host_species	n_samples	library_source	library_strategy	paper_title	tier
PRJNA797557	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses 16S rRNA amplicon sequencing (AMPLICON strategy), not shotgun metagenomics (WGS/METAGENOMIC strategy), which excludes it from the GUT_WGS category despite explicit mention of honey bee gut as the body site.	Apis mellifera carnica	216	METAGENOMIC	AMPLICON	Community Dynamics in Structure and Function of Honey Bee Gut Bacteria in Response to Winter Dietary Shift.	EXCLUDED
PRJNA734104	GUT_WGS	high	explicit	Isolation source: 'Feces sample'; ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple explicit statements confirm shotgun metagenomic sequencing (WGS + METAGENOMIC) of fecal samples from a gut microbiome.	Mouse	8	METAGENOMIC	WGS	Antibiotic-Induced Primary Biles Inhibit SARS-CoV-2 Endoribonuclease Nsp15 Activity in Mouse Gut.	CONFIRMED_GUT
PRJEB53563	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON (indicated as NOT shotgun); library_source: METAGENOMIC; Host body site: UBERON:cecum (gut-proxy, explicitly stated)	Although the study targets gut microbiota (cecum) in a mouse, the library_strategy is AMPLICON, which indicates 16S/targeted amplicon sequencing rather than shotgun WGS metagenomic sequencing, making this NOT_METAGENOMIC despite the METAGENOMIC library_source label.	Mus musculus	99	METAGENOMIC	AMPLICON	Acetate reprograms gut microbiota during alcohol consumption.	EXCLUDED
PRJNA834938	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON; Sample titles explicitly state '16S-23S rRNA sequencing'; Isolation source confirms 'fecal sample'	This is a 16S rRNA amplicon study (AMPLICON strategy), not shotgun metagenomics (WGS/METAGENOMIC strategy), despite the gut/fecal origin and METAGENOMIC library_source label.	Mus musculus	8	METAGENOMIC	AMPLICON	Investigation of memory-enhancing effects of Streptococcus thermophilus EG007 in mice and elucidating molecular and metagenomic characteristics using nanopore sequencing.	EXCLUDED
PRJNA799796	GUT_WGS	high	explicit	Biome label: 'mouse gut metagenome'; ENA study title: 'MIMARKS Survey related sample from mouse gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple sources explicitly state 'gut' as the body site, host is mouse (Mus musculus), library_source confirms metagenomic community DNA, and library_strategy confirms shotgun WGS approach.	Mus musculus	40	METAGENOMIC	WGS	Metagenomic and metabolomic analyses reveal synergistic effects of fecal microbiota transplantation and anti-PD-1 therapy on treating colorectal cancer.	CONFIRMED_GUT
PRJNA801062	GUT_WGS	medium	inferred	Paper title explicitly mentions 'Intestinal Microenvironment'; library_source=METAGENOMIC; library_strategy=WGS; host=Rattus norvegicus (rat)	The paper title explicitly states 'Intestinal Microenvironment' indicating gut focus, combined with shotgun metagenomic methodology (WGS+METAGENOMIC) in rats; however, no isolation_source or explicit body_site field confirms gut sampling, so body_site inference from title is required.	Rattus norvegicus	10	METAGENOMIC	WGS	Xiong Fu Powder Regulates the Intestinal Microenvironment to Protect Bones Against Destruction in Collagen-Induced Arthritis Rat Models.	CONFIRMED_GUT
PRJNA812961	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the study is about gut microbiome of chickens (cecal, explicit body site), the library_strategy is AMPLICON, not WGS/METAGENOMIC shotgun sequencing, making this a 16S amplicon study rather than shotgun metagenomics.	Gallus gallus	34	METAGENOMIC	AMPLICON	Cecal Microbial Hydrogen Cycling Potential Is Linked to Feed Efficiency Phenotypes in Chickens.	EXCLUDED
PRJNA778056	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON sequencing (16S) is explicitly stated, not shotgun/WGS metagenomics, which disqualifies this from GUT_WGS classification regardless of other factors.	moso bamboo	21	METAGENOMIC	AMPLICON	The functional microbiota of on- and off-year moso bamboo (Phyllostachys edulis) influences the development of the bamboo pest Pantana phyllostachysae.	EXCLUDED
PRJNA772551	NOT_METAGENOMIC	high	none	library_strategy: RNA-Seq	RNA-Seq is a transcriptomic method, not shotgun metagenomics (which requires WGS or METAGENOMIC strategy), so this does not qualify as a WGS metagenomic study regardless of the gut-related title or METAGENOMIC library_source designation.	Mus musculus	1	METAGENOMIC	RNA-Seq	Tetragenococcus halophilus Alleviates Intestinal Inflammation in Mice by Altering Gut Microbiota and Regulating Dendritic Cell Activation via CD83.	EXCLUDED
PRJNA555826	NOT_METAGENOMIC	high	none	library_source: TRANSCRIPTOMIC; library_strategy: RNA-Seq	This is a transcriptomic RNA-Seq study of mosquito neurotranscriptomics, not shotgun metagenomic sequencing of community DNA.	Vertebrate	1	TRANSCRIPTOMIC	RNA-Seq	Bidirectional Microbiome-Gut-Brain-Axis Communication Influences Metabolic Switch-Associated Responses in the Mosquito Anopheles culicifacies.	EXCLUDED
PRJNA801070	GUT_WGS	high	explicit	ENA study titles explicitly state 'superworm gut microbiome metagenome' (multiple replicates) and 'superworm fecies microbiome'; isolation sources confirm 'superworm gut microbiome' and 'superworm feces microbiome'; library_source=METAGENOMIC; library_strategy=WGS; biome label='insect gut metagenome'	Multiple explicit statements of gut and fecal sampling combined with WGS metagenomic methodology clearly establish this as a shotgun metagenomics study of animal gut microbiome.	Zophobas morio	14	METAGENOMIC	WGS	Insights into plastic biodegradation: community composition and functional capabilities of the superworm (Zophobas morio) microbiome in styrofoam feeding trials.	CONFIRMED_GUT
PRJNA722696	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	The library_strategy is AMPLICON, not WGS or METAGENOMIC, which means this is 16S/amplicon sequencing rather than shotgun metagenomic sequencing.	Mus musculus	20	METAGENOMIC	AMPLICON	Short-chain fatty acids promote the effect of environmental signals on the gut microbiome and metabolome in mice.	EXCLUDED
PRJNA805262	NOT_METAGENOMIC	high	explicit	library_strategy: RNA-Seq	RNA-Seq is a transcriptomic sequencing method, not shotgun metagenomic sequencing (WGS/METAGENOMIC), despite the gut biome label and sample descriptions suggesting a gut microbiome study.		1	OTHER	RNA-Seq	Effects of therapeutic levels of dietary antibiotics on the cecal microbiome composition of broiler chickens.	EXCLUDED
PRJNA737742	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the study is explicitly identified as gut microbiome work on mice with fecal samples, the library_strategy is AMPLICON (not WGS or METAGENOMIC shotgun), which disqualifies it from the GUT_WGS category; amplicon sequencing is not shotgun metagenomics.	Mus musculus	16	METAGENOMIC	AMPLICON	Murine Gut Microbiome Meta-analysis Reveals Alterations in Carbohydrate Metabolism in Response to Aging.	EXCLUDED
PRJNA739153	GUT_WGS	high	explicit	Paper title: 'Murine Gut Microbiome Meta-analysis...'; ENA study title: 'mouse gut metagenome'; Biome label: 'mouse gut metagenome'; Isolation source: 'feces-old-1' through 'feces-old-7'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple explicit declarations confirm this is shotgun metagenomic sequencing (WGS + METAGENOMIC) of mouse fecal samples from the gut microbiome.	Mus musculus	20	METAGENOMIC	WGS	Murine Gut Microbiome Meta-analysis Reveals Alterations in Carbohydrate Metabolism in Response to Aging.	CONFIRMED_GUT
PRJNA731974	GUT_WGS	high	explicit	ENA study title: 'Metagenome or environmental sample from mouse gut metagenome'; Biome label: 'mouse gut metagenome'; Isolation source: 'mouse fecal'; library_strategy: 'WGS'; library_source: 'GENOMIC'	Multiple explicit statements confirm shotgun metagenomic sequencing (WGS with GENOMIC library source) of mouse fecal/gut samples, meeting all criteria for GUT_WGS classification.	Mus musculus	12	GENOMIC	WGS	Positive Interventional Effect of Engineered Butyrate-Producing Bacteria on Metabolic Disorders and Intestinal Flora Disruption in Obese Mice.	CONFIRMED_GUT
PRJNA765168	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	This is a 16S amplicon study (AMPLICON library_strategy), not shotgun metagenomics (WGS/METAGENOMIC), despite the gut microbiome context.	Solea senegalensis	28	METAGENOMIC	AMPLICON	Solea senegalensis Bacterial Intestinal Microbiota Is Affected by Low Dietary Inclusion of Ulva ohnoi.	EXCLUDED
PRJNA494875	GUT_WGS	high	explicit	Isolation source: 'Feces_Pig19; Feces_Pig21; Feces_Pig6; feces pig1 day 0 after weanning; feces pig1 day 21 after weanning; feces pig1 day 7 after weanning; feces pig12 day 14 after weanning; feces pig12 day 21 after weanning'; Biome label: 'gut metagenome'; Library source: 'METAGENOMIC'; Library strategy: 'WGS'; Host: Sus scrofa (pig).	Isolation source explicitly specifies fecal samples from pigs, biome is labeled gut metagenome, and library strategy is WGS (shotgun metagenomic), confirming this is a shotgun metagenomics study of animal gut microbiome.	Sus scrofa	67	METAGENOMIC	WGS	A Bacterial Genome and Culture Collection of Gut Microbial in Weanling Piglet.	CONFIRMED_GUT
PRJNA561470	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly stated as AMPLICON, which indicates 16S/amplicon sequencing rather than shotgun metagenomic sequencing (WGS), despite the metagenomic source label and gut-related sample descriptions.	Porcine	63	METAGENOMIC	AMPLICON	A Bacterial Genome and Culture Collection of Gut Microbial in Weanling Piglet.	EXCLUDED
PRJNA785094	NOT_METAGENOMIC	high	explicit	library_source: TRANSCRIPTOMIC; library_strategy: RNA-Seq; Sample title: '16S rRNA-Seq'	This is a 16S rRNA amplicon study (RNA-Seq of 16S rRNA), not shotgun metagenomic sequencing, despite the gut/fecal body site being explicitly stated.	Rhinopithecus bieti	1	TRANSCRIPTOMIC	RNA-Seq	Functional convergence of Yunnan snub-nosed monkey and bamboo-eating panda gut microbiomes revealing the driving by dietary flexibility on mammal gut microbiome.	EXCLUDED
PRJNA787384	GUT_WGS	high	explicit	Biome label(s): 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Paper title explicitly mentions 'gut microbiomes'	The biome label explicitly states 'gut metagenome', the library source is metagenomic community DNA, the library strategy is WGS (shotgun), and the paper title confirms this is a gut microbiome study of Yunnan snub-nosed monkey (Rhinopithecus bieti).	Rhinopithecus bieti	24	METAGENOMIC	WGS	Functional convergence of Yunnan snub-nosed monkey and bamboo-eating panda gut microbiomes revealing the driving by dietary flexibility on mammal gut microbiome.	CONFIRMED_GUT
PRJEB48695	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S rRNA gene profiling rather than shotgun metagenomics (WGS/METAGENOMIC), despite the gut body site being explicitly stated in sample titles.	Oncorhynchus mykiss	250	OTHER	AMPLICON	A multi-omics approach unravels metagenomic and metabolic alterations of a probiotic and synbiotic additive in rainbow trout (Oncorhynchus mykiss).	EXCLUDED
PRJNA657145	UNCERTAIN	low	inferred	Paper title mentions 'Fecal Microbiome Analysis' and 'healthy mice', but ENA metadata shows library_source='GENOMIC' (single-organism) not METAGENOMIC, isolation_source='Korean fermented food' (not animal), and sample is 'Lactobacillus acidophilus' (pure culture, not community).	Despite the paper title suggesting fecal mouse microbiome analysis, the ENA submission metadata indicates a single-organism genome (GENOMIC source, isolated from fermented food), not a shotgun metagenomic community sample, creating a critical mismatch between paper claims and actual submission classification.	Lactobacillus acidophilus	2	GENOMIC	WGS	Positive Effect of Lactobacillus acidophilus EG004 on Cognitive Ability of Healthy Mice by Fecal Microbiome Analysis Using Full-Length 16S-23S rRNA Metagenome Sequencing.	REVIEW
PRJNA781018	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON; Paper title mentions '16S-23S rRNA metagenome sequencing'; isolation_source: 'fecal of mouse'	Although the study involves mouse gut fecal samples (explicit body site), the library_strategy is explicitly AMPLICON (16S rRNA gene sequencing), not shotgun/WGS metagenomic sequencing, making this a 16S amplicon study rather than WGS metagenomics.	Mus musculus	12	METAGENOMIC	AMPLICON	Positive Effect of Lactobacillus acidophilus EG004 on Cognitive Ability of Healthy Mice by Fecal Microbiome Analysis Using Full-Length 16S-23S rRNA Metagenome Sequencing.	EXCLUDED
PRJNA718160	GUT_WGS	high	explicit	ENA study title: 'MIMS Environmental/Metagenome sample from gut metagenome'; Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple explicit references to 'gut metagenome' combined with shotgun metagenomic sequencing (WGS + METAGENOMIC library source) of animal hosts (primates) confirm this is a gut-specific WGS metagenomic study.	Rhinopithecus roxellana	28	METAGENOMIC	WGS	Captivity Influences the Gut Microbiome of Rhinopithecus roxellana.	CONFIRMED_GUT
PRJNA760288	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	AMPLICON sequencing (16S) is explicitly stated as the library strategy, which is not shotgun metagenomics despite the metagenomic source material and explicit fecal body site confirmation.	Rats	72	METAGENOMIC	AMPLICON	The effects of Levilactobacillus brevis on the physiological parameters and gut microbiota composition of rats subjected to desynchronosis.	EXCLUDED
PRJEB46472	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the study targets rat gut microbiota (explicit in paper title and biome label), the library_strategy is AMPLICON, which indicates 16S rRNA gene sequencing, not shotgun/WGS metagenomics.	Rattus norvegicus	16	METAGENOMIC	AMPLICON	Time-restricted feeding induces Lactobacillus- and Akkermansia-specific functional changes in the rat fecal microbiota.	EXCLUDED
PRJNA448009	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S rRNA gene sequencing, not shotgun metagenomics (WGS/METAGENOMIC), despite the gut context and metagenomic library_source label.	Mus musculus	166	METAGENOMIC	AMPLICON	Muribaculaceae Genomes Assembled from Metagenomes Suggest Genetic Drivers of Differential Response to Acarbose Treatment in Mice.	EXCLUDED
PRJNA699677	GUT_WGS	high	explicit	Isolation source: 'hindgut'; Sample title: 'Bumblebee hindgut'; ENA study title: 'Bumblebee hindgut'; Biome label: 'insect gut metagenome'; library_source: 'METAGENOMIC'	Multiple explicit statements confirm hindgut as the body site and metagenomic (shotgun community DNA) as the method for this animal gut microbiome study.	Bombus terrestris	29	METAGENOMIC	OTHER	Gut microbiome drives individual memory variation in bumblebees.	CONFIRMED_GUT
PRJNA408020	GUT_WGS	medium	inferred	Paper title explicitly states 'chicken gut microbiome'; library_strategy is 'WGS'; library_source is 'GENOMIC' (metagenomic); sample biome is 'bird metagenome'.	The paper title explicitly identifies the study as focusing on chicken gut microbiome with shotgun WGS metagenomic data, but the ENA metadata fields (Host body site, Isolation source) do not explicitly state 'gut' or 'fecal', requiring inference from the paper title rather than relying solely on structured metadata fields.	avian	130	GENOMIC	WGS	Metagenome-assembled genomes and gene catalog from the chicken gut microbiome aid in deciphering antibiotic resistomes.	CONFIRMED_GUT
