study_accession	discrepancy_flags	discrepancy_host	discrepancy_host_missing	discrepancy_gut	discrepancy_multihost	discrepancy_notes
PRJNA721002	host_missing; multihost_issue		paper names: dogs and humans (Canis familiaris and Homo sapiens); deposit blank/generic		Paper title and abstract specify 'dogs and their owners' (two host species: Canis familiaris and Homo sapiens). Deposit sample-level metadata does not explicitly name these hosts, but the paper's own title and research design clearly indicate two distinct host species being sampled in parallel.	Host metadata is missing or insufficiently specific in the deposit (blank/generic 'feces metagenome' field) despite the paper clearly identifying two distinct host species (dogs and humans) in a comparative family study.
PRJNA1211300						No reporting errors detected. Paper and deposit are fully aligned on human host identity and fecal gut sampling.
PRJEB40990	multihost_issue				Deposit sample-level data explicitly lists three distinct host species: Coregonus lavaretus (European Whitefish), Oncorhynchus mykiss (rainbow trout), Salmo salar (Atlantic salmon) in biome labels and sample titles. Paper abstract presents these samples under the single umbrella term 'salmonid hosts' without specifying that three different fish species were sampled.	The study includes samples from three distinct salmonid host species (Atlantic salmon, rainbow trout, European whitefish) that are not clearly itemized in the paper abstract, which presents them under a single 'salmonid hosts' umbrella term.
PRJNA1135945	multihost_issue				Deposit biome labels explicitly list TWO distinct host species: 'Mus musculus' and 'human gut metagenome' (implying Homo sapiens). The paper presents a single-host study design using murine models, with no mention of simultaneous human sampling.	A multihost_issue is present: the deposit biome labels explicitly declare both Mus musculus and human samples, whereas the paper describes only a murine animal-model study.
PRJEB14215	host_missing		paper names: human; deposit blank/generic			Host missing: deposit lacks formal host field metadata despite paper's explicit description of human cohorts; biome label confirms human origin but structured host field should be populated.
PRJEB12449	host_missing		paper names: human; deposit blank/generic			Host metadata is missing from the ENA deposit host field despite the paper clearly describing a human gut microbiome study.
PRJNA613182						No reporting errors detected. Deposit metadata correctly reflects the mouse model study with fecal samples from Mus musculus.
PRJNA397112						Study metadata fully consistent: human gut microbiome samples from Indian subjects correctly identified as Homo sapiens with appropriate gut-sourced samples and no conflicting host information.
PRJNA1289129						No reporting errors detected. Deposit host (Rattus norvegicus) is appropriate for an animal-model gut microbiota study described in the paper.
PRJNA542998						No reporting errors detected. Paper and deposit are fully consistent: mice as host, fecal samples as intended gut microbiome study.
PRJNA599288	host_missing; multihost_issue		paper names: Apis cerana (Eastern honey bee) and Apis mellifera (Western honey bee); deposit blank/generic		Isolation sources explicitly state two species: 'eastern honey bee gut' and 'western honey bee gut'. Sample titles reference 'insect gut metagenome' generically, but the isolation sources clarify two distinct Apis species are represented.	Host species information is missing from the structured ENA host field (should capture Apis cerana and Apis mellifera), though isolation sources do reference both bee species. The study intentionally compares two distinct honey bee hosts, which is explicit in the deposit.
PRJNA883557						No reporting errors detected; rat host and fecal gut samples are correctly matched between paper and deposit in this appropriate animal-model study.
PRJNA1199800						No reporting errors detected. Paper and deposit are consistent: fecal microbiome study in domestic dogs (Canis lupus familiaris) with leishmaniosis.
PRJNA400072						No reporting errors detected; paper and deposit are concordant for a human gut metagenome study.
PRJEB33338	host_missing		paper names: chicken (Gallus gallus); deposit blank/generic			Host metadata is missing from the ENA deposit (host field blank) despite the paper clearly studying chicken samples, creating a metadata gap that should be recorded.
PRJNA627251						No reporting errors detected. Paper describes ruminant gut archaeome; deposit contains cattle (Bos taurus) rumen samples, which is consistent.
PRJNA601807						No reporting errors detected. Paper and deposit are fully consistent: single frog species (Microhyla fissipes), gut samples only, complete host metadata.
PRJNA997718						No reporting errors detected. Paper and deposit are in complete agreement on host identity (Trachypithecus francoisi), sample type (gut microbiota), and study design (single-host comparative microbiota study across environmental contexts).
PRJNA925857						No reporting errors detected; companion animal gut microbiome study with dog (Canis lupus familiaris) samples is internally consistent between paper and deposit.
PRJEB34992						No reporting errors detected; paper and deposit metadata are consistent regarding human gut microbiome study, despite blank host field in deposit which is compensated by explicit human-gut sample-level annotations.
PRJNA1090271	host_missing		paper names: human; deposit blank/generic			Host metadata is missing from the deposit (should record 'human'), but no other data-quality issues detected.
PRJNA726842						No reporting errors detected. Paper and deposit are fully consistent: host is Macaca mulatta, samples are fecal (gut-derived), library strategy mix (WGS and 16S AMPLICON) matches the stated dual approach, and no multiple host species are present.
PRJNA847753						No reporting errors detected. Paper and deposit metadata are consistent: seagull gut microbiome study with fecal samples.
PRJNA401977	host_missing		paper names: humans; deposit blank/generic			Host field is missing from the deposit metadata despite the paper and biome label clearly indicating human origin.
PRJEB79352						No reporting errors detected. Paper and deposit are concordant on host identity (broiler chickens = Gallus gallus) and sample type (caecal = gut).
PRJEB21612	host_missing		paper names: various primate species (Guangxi primates); deposit blank/generic			Host missing: paper studies multiple primate species but deposit host field is blank, representing a metadata gap rather than a contradiction.
PRJEB66719	host_missing		paper names: human; deposit blank/generic			Host is missing from the structured deposit field despite the paper's clear focus on human gut microbiome and the biome label providing implicit confirmation.
PRJNA1214037						No reporting errors detected. Host, sample type, and metadata are internally consistent between paper and deposit.
PRJNA431482						No reporting errors detected. Paper and deposit are consistent: human gut microbiome study in Behcet's disease patients.
PRJNA1141889						No reporting errors detected. Paper and deposit are concordant on chicken (Gallus gallus) as the host organism for intestinal microbiome sampling.
PRJNA902000						No reporting errors detected. Paper and deposit are consistent regarding the mouse model (5xfAD and WT strains), sample types (cecal and fecal), and study design.
PRJNA358755						No reporting errors detected; deposit metadata consistently describe fecal samples from giant pandas matching the paper's subject organism and sample type.
PRJNA678871	host_mismatch; gut_sample_issue; multihost_issue	paper: Chicken (Gallus gallus domesticus) vs deposit: Homo sapiens		Isolation sources include: 'Chicken gut' (gut), 'Human gut' (gut), 'chicken carcass' (surface), 'farm soil' (environmental soil).	Isolation sources explicitly list both 'Chicken gut' and 'Human gut' as distinct origins, plus 'chicken carcass' and 'farm soil'. The deposit sample-level metadata identifies samples from at least two distinct host species: chicken and human.	Multiple valid errors: host field incorrectly lists Homo sapiens when primary samples are from chicken; deposit includes non-gut samples (carcass, soil) without clear study design separation; sample-level data reveal multiple distinct host species (chicken and human) not clearly distinguished in the paper's framing.
PRJNA972320						No reportable errors detected. The deposit host (Ovis aries / sheep) aligns with the paper's claim; goat is mentioned in the paper but not reflected in deposit host metadata, which is a metadata completeness gap rather than a false reporting error.
PRJNA574851						No reporting errors detected. Paper and deposit are consistent: transgenic Macaca mulatta models with fecal microbiota samples from Parkinson's disease research.
PRJEB11755						No reporting errors detected. Paper and deposit are consistent: pigs sampled from gut (stool and intestinal regions).
PRJNA294605						No reporting errors detected; paper and deposit are concordant on human infant gut microbiome samples.
PRJNA1293880	host_missing		paper names: giant panda (Ailuropoda melanoleuca); deposit blank/generic			Host metadata is missing from the ENA deposit despite the paper clearly studying giant panda gut microbiota; this represents a reporting gap (host_missing) rather than a conflict.
PRJNA1293833						No reporting errors detected. The paper describes fecal microbiome from beef calves (Bos taurus), which perfectly matches the deposit host and sample-level metadata, all consistently indicating cattle feces samples.
PRJNA1298367						No genuine reporting errors detected. The deposit correctly reflects both human and mouse hosts as described in the paper's dual experimental design (human microbiota analysis plus EAE mouse model validation).
PRJNA494824						All metadata consistent; human cancer treatment microbiota study with fecal samples from Homo sapiens is correctly documented.
PRJNA763692						Critical host_mismatch: paper is about pig gut microbiome, but deposit host field is Homo sapiens with human gut/stool sample metadata.
PRJNA624223						No reporting errors detected. Paper and deposit are fully aligned on host (human), sample type (gut/stool), and study design (COVID-19 patient gut microbiota).
PRJNA598094	multihost_issue				Deposit host_species_list shows TWO DISTINCT species: Apis cerana japonica and Apis mellifera. Paper presents these as TWO SEPARATE SPECIES being compared, not as a single host.	No genuine reporting errors detected. The deposit correctly captures two distinct honey bee host species that are the focus of a comparative metagenomics study.
PRJNA1091038						No reporting errors detected. Paper and deposit metadata are fully consistent for a fallow deer (Dama dama) fecal microbiome study.
PRJNA415307						No reporting errors detected. Paper describes a mouse model of C. difficile infection with cecal microbiome sampling; deposit correctly identifies Mus musculus as host with cecal content as isolation source.
PRJEB6070						No reporting errors detected. Paper and deposit are fully concordant for a human gut microbiome study of colorectal cancer association with sulfur metabolism genes.
PRJNA880353						No reporting errors detected; host, sample type, and metadata are all consistent and appropriately documented.
PRJNA1030990						All metadata are consistent and correct: mice (animal model) with gut samples (cecal contents) deposited under 'mouse' host.
PRJEB27928	host_missing		paper names: humans; deposit blank/generic			Host identity is missing from the deposit host field despite the paper clearly studying human samples; this represents a metadata reporting gap.
PRJNA496479						No reporting errors detected. Paper and deposit are in full agreement on host identity (human children), sample type (gut metagenome), and study design.
PRJEB76898	host_mismatch; gut_sample_issue; multihost_issue	paper: Lepus europaeus (European hares) vs deposit: Podarcis muralis (wall lizard) listed as primary host; 22 distinct host species across samples including Lepus europaeus		Biome labels include 'oral metagenome' and 'indoor metagenome' alongside 'feces metagenome'. The paper is framed as a gut microbiota study, but the deposit contains samples from non-gut sites (oral cavity) and non-specific indoor environments.	The host_species_list in the deposit explicitly names 22 distinct host species across samples: Calotriton asper, Canis lupus familiaris, Chalcides striatus, Geospizopsis unicolor, Lepus europaeus, Lissotriton helveticus, Natrix astreptophora, Perisoreus infaustus, Plecotus auritus, Podarcis filfolensis, Podarcis gaigeae, Podarcis liolepis, Podarcis milensis, Podarcis muralis, Podarcis pityusensis, Psittacula echo, Salamandra atra, Sciurus carolinensis, Sciurus vulgaris, Strix aluco, and others.	Critical data integrity issues: deposit host field contradicts paper (Podarcis muralis vs Lepus europaeus), non-gut samples (oral) are mixed into a gut microbiota study, and the deposit contains samples from 22 distinct host species while the paper describes a single-host hare study.
PRJNA1171501						No reporting errors detected. Mouse host is appropriate for an animal model of imiquimod-induced inflammation; all samples are confirmed gut/stool metagenomes with consistent metadata.
PRJNA788462						All metadata consistent. Paper describes a swine (growing pig) microbiome-resistome study; deposit correctly specifies Sus scrofa as host with gut metagenome samples from a research facility.
PRJEB30661	host_missing		paper names: Tor putitora; deposit blank/generic			Host species identity (Tor putitora) is missing from the deposit host field, which contains only the generic descriptor 'fish gut metagenome'.
PRJNA847006						No reporting errors detected. Paper and deposit are fully concordant: Sus scrofa host, fecal/gut samples from neonatal piglets (healthy vs. diarrheal groups), metagenomic sequencing of virome.
PRJNA1273701						No reporting errors detected. Paper and deposit metadata are fully aligned for a gut microbiome study in rat model infected with Toxoplasma gondii.
PRJNA1088536						All metadata align correctly: Bos taurus (cow and calf) in deposit matches paper's gestating cow and neonatal calf; fecal samples are appropriately labeled as gut metagenome.
PRJNA384716						No reporting errors detected. Deposit metadata correctly reflects a human infant gut microbiome study with appropriate sample sources and host identity.
PRJNA892774						No reporting errors detected. The deposit correctly identifies Mus musculus (Balb/c mice) as the host for this animal-model study of helminth-microbiota interaction, with gut metagenome samples appropriately labeled.
PRJNA844935	gut_sample_issue			Sample titles and isolation sources indicate 'Microbe sample from Enterococcus faecalis', 'Microbe sample from Escherichia coli', and 'Sample survived whole blood assay'. The 'whole blood assay' isolation source and bacterial culture isolates (not gut samples) contradict a gut-microbiome study framing.		Gut sample issue flagged: deposit metadata reveals blood-assay bacterial isolates rather than gut samples, contradicting the paper's gut-microbiome framing.
PRJNA788958						No reporting errors detected. Host identity (Equus caballus), sample type (fecal/gut), and isolation source all align consistently between paper and deposit.
PRJNA937780						No reporting errors detected; paper and deposit metadata are consistent for a sheep gastrointestinal microbiota study.
PRJNA942468	host_missing		paper names: human; deposit blank/generic			Host missing: the paper studies human IBD patients but the deposit host field lacks explicit host species annotation.
PRJNA1073587						No reporting errors detected. Paper and deposit are fully consistent: giant panda gut metagenome study with Ailuropoda melanoleuca correctly recorded.
PRJNA1099794						No reporting errors detected; chicken (Gallus gallus) host correctly identified in both paper and deposit.
PRJNA417359						No reporting errors detected. Paper and deposit are consistent on chicken as the host organism and gut samples as the source material.
PRJNA63661						No reporting errors detected. Paper and deposit are consistent: human infant gut metagenome study with Homo sapiens host and appropriate gut samples (stool).
PRJNA1245445						Paper and deposit metadata are fully consistent: cattle (Bos taurus) fecal microbiome study from dairy farms with appropriate gut sampling.
PRJNA1123460						No reporting errors detected. Paper and deposit are fully aligned on human gut microbiota samples from acute pancreatitis patients.
PRJNA1116530	host_mismatch	paper: Dezhou donkeys (Equus asinus) vs deposit: Bacillota (bacterial phylum)				The deposit host field incorrectly contains bacterial phylum names (Bacillota) instead of the donkey host organism that the paper studies.
PRJNA1428229	host_missing		paper names: Tetrix japonica (pygmy grasshopper); deposit blank/generic			Host species is missing from the deposit metadata, though the paper clearly identifies Tetrix japonica as the single host organism.
PRJEB62607	host_missing		paper names: hindgut-fermenting carnivores (specific species from Givskud Zoo, presumably felids or similar); deposit blank/generic			The deposit is missing explicit host species identification despite the paper studying specific carnivore species from a zoo; this is a host_missing issue, not a contradiction.
PRJNA853153	host_missing		paper names: humans and mice; deposit blank/generic			The deposit host field is incorrectly populated with a bacterial phylum (Bacillota) instead of the actual host organisms (human and/or mouse), representing a host_missing metadata error.
PRJEB47976						No reporting errors detected; paper and deposit metadata are fully consistent for a human stool microbiome study of Alzheimer's disease.
PRJNA327106	gut_sample_issue			Deposit biome labels include 'human oral metagenome' and 'human skin metagenome' in addition to 'human gut metagenome'. Sample titles and isolation sources reference gut samples (DOL X gut), but biome labels explicitly indicate non-gut body sites.		The deposit metadata includes oral and skin metagenome biome labels that conflict with the paper's focus on infant gut microbiome, representing a genuine sample-type reporting inconsistency.
PRJNA1257558						No reporting errors detected. Paper and deposit are consistent on host identity (Tibetan antelope, Pantholops hodgsonii) and sample type (gut metagenome).
PRJNA987743						No reporting errors detected. Paper and deposit are fully aligned on host identity (Bos indicus), sample types (rumen and fecal), and study scope.
PRJNA1206810						No genuine reporting errors detected. Paper describes cat gut microbiota during Toxoplasma infection; deposit isolation sources confirm cat feces origin, resolving the generic host field.
PRJNA718322						No reporting errors detected. The deposit correctly documents the murine component of a comparative study; human samples are absent from this BioProject and likely deposited separately.
PRJNA526405						No data-quality issues detected. Host identity, sample type, and metadata are consistent between paper and deposit.
PRJNA356809	host_mismatch; multihost_issue	paper: Ailuropoda melanoleuca (giant panda) vs deposit: Lynx lynx (Eurasian lynx); Panthera pardus (leopard)			Deposit sample-level data explicitly lists two distinct host species: Lynx lynx and Panthera pardus. The paper presents a single-host study (giant panda only).	Critical host identity error: deposit contains felid species (lynx, leopard) data while paper studies only giant pandas; additionally, multiple host species in deposit contradicts the single-species study design.
PRJNA1222153	host_missing		paper names: canine (dog); deposit blank/generic			Host metadata is missing from the deposit despite the paper clearly studying canine (dog) gut microbiome.
PRJNA723218						All metadata are internally consistent: paper and deposit both describe gastrointestinal microbiome samples from dairy cattle (Bos taurus) with no reporting errors detected.
PRJNA1119043	host_mismatch; multihost_issue	paper: donkeys and cows vs deposit: Cow; sample titles and biome labels reference 'mouse gut metagenome'			Deposit host field states 'Cow'; deposit sample titles and biome labels explicitly reference 'mouse gut metagenome'. The sample-level metadata independently identify mouse as a host organism alongside cow.	Critical data integrity issue: the paper describes donkey and cow digestive microbiomes, but the deposit contains mouse and cow samples, with mouse explicitly named in sample titles and biome labels.
PRJNA821230						No reporting errors detected. Paper and deposit metadata are consistent: cat (Felis catus) fecal microbiome study with appropriate sample body-site (rectum/gut) and host identification.
PRJNA549182						Study is a legitimate murine gut microbiome investigation with consistent host, body-site, and sample metadata across paper and deposit.
PRJNA1083038						No reporting errors detected; red deer (Cervus elaphus) is appropriately matched between paper and deposit.
PRJNA984595						No reporting errors detected. Pig (Sus scrofa) host matches paper; gut/fecal samples are correctly categorized; no multi-host issues identified.
PRJEB40824	multihost_issue				Deposit sample-level data explicitly lists 5 distinct host species (Gallus gallus, Meleagris gallopavo, Rodentia, Sus scrofa, Vulpes vulpes) while paper treats them as a comparative set of multiple animal species investigated together.	The study samples multiple distinct host species (5 confirmed in deposit); this is appropriate and transparent in both sources, but constitutes a legitimate multihost_issue per the strict protocol.
PRJEB51353	host_missing		paper names: human; deposit blank/generic			Host species metadata is missing from the ENA deposit despite paper clearly describing a human gut microbiota study.
PRJNA1137132						No data-quality issues detected. The study appropriately describes an animal model of Alzheimer's disease in mice with correct host identification and gut sample sourcing in the deposit.
PRJNA825520						No reporting errors detected; cattle hindgut samples are correctly identified in both paper and deposit metadata.
PRJEB66439	multihost_issue				Deposit host_species_list contains: 'Blank sample', 'Canis lupus familiaris', 'Mock community', and 'synthetic metagenome'. Sample titles explicitly reference 'Blank_sample_DNA_H1H_10_G6' etc., and biome labels include 'blank sample' and 'synthetic metagenome' alongside 'Canis lupus familiaris'.	Valid multihost_issue detected: deposit sample-level metadata explicitly documents blank and synthetic metagenome controls alongside canine samples, though this mixture is appropriate for a validation study establishing detection thresholds.
PRJNA1187897	host_missing		paper names: dairy ruminants; deposit blank/generic			Host is missing from the deposit metadata field (metadata gap), though the paper clearly identifies dairy ruminants and the biome label hints at bovine origin.
PRJNA844237	host_missing		paper names: sows (Sus scrofa domesticus implied); deposit blank/generic			Host missing: the deposit host field lacks explicit taxonomic host designation, containing only a sample identifier rather than species name.
PRJNA321058						No reporting errors detected. Paper and deposit metadata are consistent for host (Homo sapiens), sample type (gut), and study design (human IBD microbiome meta-analysis).
PRJNA1391520						No reporting errors detected. Paper and deposit are consistent: both describe a pig gut metagenome study using WGS.
PRJNA814825	multihost_issue				Deposit host_species_list contains 2 distinct species: Equus hemionus hemionus and Equus przewalskii. Deposit host field lists only 'Equus przewalskii', creating inconsistency in the deposit metadata itself.	Deposit metadata shows conflicting host information: primary host field lists only Equus przewalskii while sample-level host_species_list explicitly includes both Equus hemionus hemionus and Equus przewalskii, though this actually matches the paper's two-species comparative design.
PRJNA376580	host_missing; gut_sample_issue		paper names: Infants (human); deposit blank/generic	Sample titles and isolation sources indicate 'NICU room sample', 'hospital NICU surfaces and sink samples' from Magee Womens Hospital. The deposit metadata explicitly identifies these as NICU environmental/surface samples, NOT gut samples.		Critical mismatch: the paper describes an infant gut-microbiome study, but the deposit contains environmental samples (NICU room surfaces and sinks) from a hospital, not infant gut samples. Additionally, the human host is missing from the deposit host field.
PRJNA313232	host_mismatch	paper: homeothermic animals (plural, general term encompassing multiple species) vs deposit: Homo sapiens (single species)				The deposit host field (Homo sapiens only) contradicts the paper's scope (guts of homeothermic animals, plural), representing genuine host metadata underspecification.
PRJNA821641						No reporting errors detected; paper and deposit metadata are consistent on host (Sus scrofa/pig), sample type (fecal/gut), and study design.
PRJNA531273						No reporting errors detected. Paper and deposit are in full agreement on human host, gut sample type, and single-host study design.
PRJNA389280						No reporting errors detected; paper and deposit are in full agreement on human gut microbiome study.
PRJEB4336	host_missing		paper names: humans (Type 2 diabetes patients; study mentions populations including Danish and Latvian cohorts); deposit blank/generic			Host identity is missing from the structured deposit host field despite clear human origin indicated in biome label and sample title.
PRJNA1247471	host_missing		paper names: Ailuropoda melanoleuca (giant panda); deposit blank/generic			Host missing: the paper identifies giant pandas (Ailuropoda melanoleuca) as the study subject, but the deposit host field is empty.
PRJNA657304	gut_sample_issue			Isolation sources include 'bone - JBG2', 'bone - JBG47', and 'soil'. Biome labels include 'soil metagenome'. Sample titles reference features (archaeological contexts) but include bone and soil samples alongside coprolites.		The study correctly analyzes dog (Canis lupus familiaris) coprolites, but the deposit includes non-gut samples (bone and soil) alongside coprolites, which represents a legitimate gut_sample_issue per deposit ground truth.
PRJNA1082665						No reporting errors detected; paper describes canine (dog) gut microbiome and deposit correctly identifies host as canine with appropriate gut samples.
PRJNA908260						No errors detected. Paper and deposit are concordant on host (cats/Feline), sample type (gut), and single-host nature of the study.
PRJNA601162						No reporting errors detected. Paper and deposit metadata are in full agreement regarding pig host and gut sample source.
PRJNA1242249						No reporting errors detected. Paper and deposit metadata are fully concordant for host identity (Moschus berezovskii), sample type (feces), and study design (single-host gut microbiome comparison).
PRJNA1218713						No reporting errors detected. Paper and deposit are consistent: both describe gut microbiota samples from pigs (Sus scrofa).
PRJNA453374						No reporting errors detected. Paper and deposit are concordant: cattle (Bos taurus) fecal microbiome study with appropriate metadata.
PRJNA953833	host_missing		paper names: mouse (BXD population); deposit blank/generic			Host missing: the paper names mouse as the host, but the ENA deposit host field is blank, indicating incomplete metadata.
PRJNA940065						No genuine reporting errors detected. This is a properly documented animal-model study of human Type 2 diabetes using mice.
PRJEB9357						No reporting errors detected. Host, sample type, and study design are consistent between paper and deposit.
PRJNA1012496						No reporting errors detected. Paper describes a mouse model study; deposit metadata (sample titles and biome labels) consistently reports mouse gut metagenome samples, which is appropriate and correct for this animal model of human coronary heart disease.
PRJEB39500	host_missing		paper names: human; deposit blank/generic			host_missing flagged: paper describes human subjects but deposit host field is blank, creating a metadata gap.
PRJNA1187854						No reporting errors detected. Paper and deposit are consistent: dairy ruminant study with cattle (Bos taurus) hindgut/fecal microbiome samples.
PRJNA385949	host_missing		paper names: human (inflammatory bowel disease patients); deposit blank/generic			Host species metadata is missing from the deposit host field despite the paper describing human IBD patients; biome and source metadata indirectly confirm human origin, but explicit host field curation gap exists.
PRJNA290380						No data quality issues detected. Paper and deposit are consistent for a human infant gut microbiome study with appropriate metagenomic sequencing.
PRJNA1064611	gut_sample_issue			Sample titles include 'Water_1' and biome labels include 'freshwater metagenome'. The paper states metagenomes were sampled from both piranha gut AND river water. The deposit sample-level metadata shows water samples (Water_1) alongside fish samples (Swab_1-4), but there is no body-site designation for the swabs. The study explicitly compares fish microbiome to river water microbiome, and water samples are clearly non-gut environmental samples.		No reporting errors detected. The deposit correctly identifies Serrasalmus rhombeus as the host, and the inclusion of water samples alongside fish samples accurately reflects the paper's comparative design of sampling from both piranha and river water.
PRJNA945347						No reporting errors detected. Paper describes grass carp (Ctenopharyngodon idella) gut microbiome; deposit correctly identifies the host species and confirms intestinal/gut sampling with consistent metadata.
PRJEB90470						No reporting errors detected. Paper and deposit are congruent: both describe a mouse (Mus musculus) gut-microbiota study of obesity and insulin resistance via high-fat diet.
PRJNA543206						All metadata align: paper describes chicken gut microbiome, deposit specifies Gallus gallus with fecal samples from chicken gut; no reporting errors detected.
PRJEB64334						No reporting errors detected: host matches (Atlantic salmon = Salmo salar), all samples are gut-origin, single host throughout.
PRJNA1417531						This is a bacterial strain characterization study with no host-microbiome component; deposit and paper are consistent with laboratory-based work on K. pneumoniae mutants.
PRJNA779845						No reporting errors detected. Paper describes a broiler chicken gut microbiome study; deposit correctly identifies host as Gallus gallus with appropriate intestinal sample sources.
PRJNA734860						No reporting errors detected. Paper and deposit metadata are fully consistent: human NASH study with gut microbiome samples from Homo sapiens.
PRJNA290729						No reporting errors detected; paper and deposit are consistent on human gut microbiome study with appropriate metadata.
PRJNA630144						No reporting errors detected; paper and deposit metadata are consistent for host identity, sample type, and study design.
PRJNA723283						No reporting errors detected. Paper describes Linwu ducks (Anas platyrhynchos) gut microbiota; deposit correctly identifies Anas platyrhynchos with gut samples.
PRJNA1123238						No genuine reporting errors detected. Paper and deposit are consistent: dogs (Canis lupus familiaris) are the correct host for a urobiome study, urine is the appropriate sample type, and synthetic controls explain the secondary human reference in metadata.
PRJEB66438						No reporting errors detected. Paper and deposit are in full agreement on host (dogs/Canis lupus familiaris) and sample type (faecal/intestinal gut samples).
