study_accession	study_title	study_description
PRJNA902117	Seven-day-old commercial chicken gut microbiome (shotgun metagenomic sequencing reads) raw sequence reads	Sequence reads generated from shotgun metagenomic sequencing. Samples collected from the ceca of 7-day-old commercial broiler chickens.
PRJNA946412	Diet effects on cat faecal microbiome composition	Impact of kibble or canned diet on cat faecal microbiome
PRJEB26596	Investigating short- and long-term genome evolution of commensal bacteria using the Oligo-MM community	The functionality of the mammalian intestinal ecosystem is influenced by various host and external factors, affecting the composition, gene expression and evolution of the microbial community over time. In particular, bacterial genome evolution is mostly driven by small additive mutations and horizontal gene transfer (HGT), events which are normally selected for in the course of environmental changes.We have previously established a defined consortium of 12 cultivable murine isolates (Oligo-MM) in a gnotobiotic mouse model to study the role of the gut microbiota and its association with diseases. We now aim to use this model for investigating short- and long-term genome evolution of commensal bacteria, and for delineating microbiota-associated functions and metabolic potential in their natural host.
PRJDB11394	Metagenomic sequencing analysis of duck fecal samples	The objective of this project is to investigate diets and microbiomes of ducks (Anas sp.) by conducting whole metagenomic sequencing of their fecal samples collected in the Izumi plain, Japan.
PRJDB13194	Predation on juvenile chum salmon Oncorhynchus keta by chub mackerel Scomber japonicus and spotted mackerel Scomber australasicus in Miyako Bay, Iwate prefecture, Japan	Mackerels have become to appear earlier in the coastal area of Iwate Prefecture, Sanriku region in recent years, resulting in overlap with the release period of hatchery-bred juvenile chum salmon into wild. Mackerels were suspected to prey on the juvenile chum salmon during their coastal residence. We investigated the predation of mackerels on juvenile chum salmon by angling in Miyako Bay, Iwate Prefecture, during the spring season.
PRJDB13214	The characteristics of gut microbiome in COVID-19 patients	We aim to investigate the characteristics of gut microbiome in COVID-19 patients in Japan by performing the metagenomic analysis.
PRJDB14449	16S rRNA Gene Amplicon Sequencing of Gut Microbiota in Chimaera phantasma of Deep-Sea Fish in Suruga Bay, Japan.	DNA was purified from the mixture using the QIAamp Fast DNA Stool Mini Kit. PCR was performed using the KOD FX Neo, and 1st PCR primers (16S rRNA gene V3-V4 regions). Next, index PCR was performed using the ExTaq HS, and Index primers. The PCR products were quantified using Synergy LX and QuantiFluor dsDNA System. Paired-end sequencing of the PCR products was performed using MiSeq. The sequencing data were analyzed using the QIIME 2 pipeline.
PRJDB14457	Gut microbiota of healthy Japanese adult	16S rDNA amplicon sequence of gut microbiota of healthy Japanese adult living in Atsugi, Kanagawa, Japan.
PRJDB1459	Metagenome analysis of fecal microbiota from mouse which was promoted longevity, spatial learning and memory	Polyamines (PAs), such as putrescine, Spermidine, and spermine are related with cvarious bioactivity include strong anti-inflammatory function. Increasing PA concentration in intestine using probiotics Bifidobacterium animalis subsp. lactis LKM512 caused inhibition of senescence and enhancing longevity of mice. We found that Arg intake also showed increase PAs concentration especially Putrescine. Mouse intakes Arg and LKM 512 resulted inhibited systemic inflammation, prolonged longevity, promoted spatial learning and memory. Metagenome analysis of intestinal mictobiota in those mice showed that detection of PA synthesis-related gene were different significantly between control and test mice.
PRJDB1461	Metagenome analysis of fecal microbiota from mouse which was promoted longevity, spatial learning and memory	Polyamines (PAs), such as putrescine, Spermidine, and spermine are related with cvarious bioactivity include strong anti-inflammatory function. Increasing PA concentration in intestine using probiotics Bifidobacterium animalis subsp. lactis LKM512 caused inhibition of senescence and enhancing longevity of mice. We found that Arg intake also showed increase PAs concentration especially Putrescine. Mouse intakes Arg and LKM 512 resulted inhibited systemic inflammation, prolonged longevity, promoted spatial learning and memory. Metagenome analysis of intestinal mictobiota in those mice showed that detection of PA synthesis-related gene were different significantly between control and test mice.
PRJDB15258	Metagenomic analyses of 7,000 to 5,500 years old coprolites excavated from the Torihama shell-mound site in the Japanese archipelago	Coprolites, contain various kinds of ancient DNAs derived from gut micro-organisms, viruses, and foods, which can help to determine the gut environment of ancient peoples. Their genomic information should be helpful in elucidating the interaction between hosts and microbes for thousands of years, as well as characterizing the dietary behaviors of ancient people. We performed shotgun metagenomic sequencing on four coprolites excavated from the Torihama shell-mound site in the Japanese archipelago. The coprolites were found in the layers of the Early Jomon period, corresponding stratigraphically to 7000 to 5500 years ago. After shotgun sequencing, we found that a significant number of reads showed homology with known gut microbe, virus, and food genomes typically found in the feces of modern humans. We detected reads derived from several types of phages and their host bacteria simultaneously, suggesting the coexistence of viruses and their hosts. The food genomes provide biological evidence for the dietary behavior of the Jomon people, consistent with previous archaeological findings. These results indicate that ancient genomic analysis of coprolites is useful for understanding the gut environment and lifestyle of ancient peoples.
PRJDB15798	Novel sampling method optimized for fecal microbiota and metabolite preservation during storage	The objective was to evaluate the performance of storage at room temperature by drying feces for subsequent examination of the microbiota, microbial pathways, and the metabolome.
PRJDB15857	Changes in the gut microbiome associated with domestication of mice	To understand the impact of mice tameness behaviour selection over multiple generations on the gut microbiome, we did shot metagenome sequencing of 80 samples.
PRJDB15956	Shotgun data in the gut of Parkinson's disease	This is shotgun metagenome sequencing in the gut of Parkinson's disease patients. The sample size is 73 for healthy controls and 94 for Parkinson's disease. All studies were approved by the Ethical Review Committees of the Nagoya University Graduate School of Medicine (approval #2016-0151), Iwate Medical College Hospital (H28-123), Okayama Kyokuto Hospital (approval #kyoIR-2016002), and Fukuoka Medical College (approval #2016M027). We obtained written informed consent from all PD patients and healthy controls.
PRJDB16036	Functional characteristics of gut microbiomes among Papua New Guinea highlanders believed to be adapted to a low-protein diet	Human gut microbiomes from Papua New Guinea (PNG) highlanders believed to be adapted to a low-protein diet. feces were stored in RNAlater solution at room temperature and the bacterial DNA was isolated using the enzymatic lysis method using lysozyme and achromopeptidase. Metagenomic library was prepared by Ion Xpress Plus Fragment Library Kit and sequenced in the Ion PGM platform.
PRJDB16260	metagenomic data from human fecal samples	Total microbial community DNA was isolated from the fecal samples of Japanese patients who underwent colonoscopy at National Cancer Research Center. The study population contains patients with familial adenomatous polyposis, and healthy subjects.
PRJDB16312	Gut Microbiome Analysis of Japanese Patients with Multiple Chemical Sensitivity	Feces samples of 30 Japanese patients with multiple chemical sensitivity/Idiopathic Environmental Intolerance were collected. The fecal DNA samples were sequenced using the MiSeq (Illumina, Inc. San Diego, CA, USA). For microbial genome/species assignment of the metagenomic reads, 500,000 high-quality metagenomic reads per individual were mapped to reference genomes using Bowtie232 (v2.2.1). For each individual, the filter-passed MiSeq reads were assembled using MEGAHIT (v1.2.4). Prodigal (v2.6.3) was used to predict protein-coding genes (greater than or equal to 100 bp) in contigs (greater than or equal to 500 bp) and singletons (greater than or equal to 300 bp). The non-redundant genes were functionally assigned by alignments against the Kyoto Encyclopedia of Genes and Genomes (KEGG) database (release 2019-10-07) using DIAMOND (e-value less than or equal to 1.0e-5) [20] to obtain KEGG orthologies (KOs).
PRJDB16698	The effect of Regnase-1 on gut microbes	As ApcMin/+ mice with Regnase-1 (Reg1) deletion specifically in intestinal epitheluim (Reg1KO-Min) had increased expression of antimicrobial peptides compared to control ApcMin/+ mice with wild-type Reg1 (Reg1WT-Min), we explored the effect of Regnase-1 deletion on gut microbes by metagenome analysis of fecal samples from Reg1WT-Min mice and Reg1KO-Min mice.
PRJDB16790	Generic sample from human gut metagenome	Total microbial community DNA was isolated from Japanese fecal samples at Jikei University Kashiwa Hospital and Kobe University Hospital. This study population contains abdominal aortic aneurysm (AAA) patients and controls with coronary risk factors, such as hypertension, diabetes mellitus, or dyslipidemia, but without present or history of coronary or other vascular diseases.
PRJDB17048	Japanese Lynch Syndrome Gut Microbiome	Total microbial community DNA was isolated from the fecal samples of Japanese patients who underwent colonoscopy at National Cancer Research Center. The study population contains subjects diagnosed with Lynch Syndrome.
PRJDB17221	Horizontal gene transfer shapes pathogenic bacteria in multiple sclerosis_fecal metagenome	Novaseq reads derived from fecal samples of 29 Japanese healthy participants, 62 patients with relapsing-remitting multiple sclerosis, and 15 patients with secondary progressive multiple sclerosis are deposited. Sequel II HiFi reads derived from fecal samples of 2 patients with relapsing-remitting multiple sclerosis, and 1 patient with secondary progressive multiple sclerosis are also deposited.
PRJDB17226	Functional changes in the host gut microbiota of mice by S. salivarius-produced EPS.	4-week-old C57BL/6J mice were fed high fat diet including 10% cellulose or 10% S. salivarius -produced EPS for 12 weeks.
PRJDB17227	Correlation analysis between EPS hydrolase, glycolysis, and SCFA production in human feces.	Human fecal samples were collected from 30 healthy (18.5<BMI<30) and 30 obese (BMI>=30) subjects to examine EPS and SCFAs synthesis and glycolysis pathways.
PRJDB1800	Metgenomic analysis of human gut microbiome in patients with multiple sclerosis (MS).	13 individual of Japanese patients with multiple sclerosis. Microbial DNA was sequenced using a 454 GS FLX titanium (Roche).
PRJDB18316	Association between polygenic risk score for prostate cancer and the gut microbiota	Shotgun sequencing for metagenomic analysis was employed to comprehensively identify taxa and pathways in the gut microbiota.
PRJDB18359	Gut microbiota of dietary intervention study	Shotgun metagenomic sequence of gut microbiota of dietary intervention study UMIN000047018: a study on the factors affecting the variation of energy balance focusing on the digestion and absorption rate.
PRJDB18384	Gut microbiota of healthy Japanese adult	Shotgun metagenomic sequence of gut microbiota of healthy Japanese adult living in Shinjuku, Tokyo, Japan.
PRJDB18854	Gut microbiota of healthy Japanese adult	Shotgun metagenomic sequence of gut microbiota of healthy Japanese adult living in Chuo, Yamanashi, Japan.
PRJDB19991	Human Gut Metagenome	Total microbial community DNA was isolated from the fecal samples of Japanese patients who underwent colonoscopy at National Cancer Research Center. The study population contains subjects diagnosed with Colorectal Cancer.
PRJDB20286	shotgun metagenomic sequence of the gut microbiome of Locusta migratoria	Raw sequences of the hindgut of Locusta migratoria was obtained from the short read metagenomic sequencing. Feces samples were collected from 3 different types (wildtype individuals gathered from Kisegawa area, laboratory-reared solitary type individuals, and laboratory-reared gregarious individuals) of Locusta migratoria individuals to investigate the microbiome of the hindgut of L. migratoria.
PRJDB20287	Metagenome assembled genome sequence of Serratia ureilytica (Lm2023) obtained from the hindgut of Locusta migratoria.	The metagenome assembled genome sequence of Serratia ureilytica (Lm2023) was obtained from the short read metagenomic sequencing analysis of the hindgut of Locusta migratoria.
PRJDB20360	JACCRO GC-18	This is an observational/translational study to evaluate clinical outcomes of nivolumab and to discover novel immune-related biomarkers (gut microbiome, genetic polymorphism, gene expression and metabolome in plasma) in gastric cancer, using fecal and blood samples at two points before and after treatment.
PRJDB20379	Shotgun metagenomic data of gut microbiome from 8 cetacean species	Shotgun metagenomic data from gut content of minke whale (Balaenoptera acutorostrata), sperm whale (Physeter macrocephalus), pygmy sperm whale (Kogia breviceps), Cuvier's beaked whale (Ziphius cavirostris), Stejneger's beaked whale (Mesoplodon stejnegeri), Pacific white-sided dolphin (Lagenorhynchus obliquidens), harbour porpoise (Phocoena phocoena), and Dall's porpoise (Phocoenoides dalli) for understanding the gut bacterial genomes of a wide range of cetaceans.
PRJDB20772	Mouse feces metabolome conventional vs germfree	Feces of sixteen mice (eight conventional, eight germfree) were investigated. All mice had the metabolome of the feces analyzed, and also the eight conventional mice had the metagenome of the feces analyzed.
PRJDB2552	Metgenomic analysis of human gut microbiome in patients with multiple sclerosis (MS).	13 individual of Japanese patients with multiple sclerosis. Microbial DNA was sequenced using a 454 GS FLX titanium (Roche).
PRJDB2695	Metgenomic analysis of human gut microbiome in patients with multiple sclerosis (MS).	13 individual of Japanese patients with multiple sclerosis. Microbial DNA was sequenced using a 454 GS FLX titanium (Roche).
PRJDB31830	Study on the association between the diet and the gut microbiota of bharals (PRJCA027325)	To explore the relationship between dietary differences and differences in gut microbiota of bharals in different regions
PRJDB32644	CRC gut microbe (PRJCA029983)	The gut microbiota influences the development and progression of colorectal cancer. Previous studies have identified that Lactobacillus johnsonii can slow down the development of colorectal cancer. This study aims to investigate the mechanisms by which Lactobacillus johnsonii mitigates the onset and progression of colorectal cancer.
PRJDB33192	Infands gut virome (PRJCA031650)	Infands gut virome relation with different feeding patterns
PRJDB34615	koala gut metagenomic data (PRJCA036472)	82 fecal samples from captive koalas
PRJDB35189	Family Cohort Study Reveals Significant Fluctuations in Functional Microbiota in CRC (PRJCA038885)	This study examined the differences in gut flora between colorectal cancer (CRC) patients and their healthy partners. The study collected faecal samples from 41 CRC patients and 47 healthy partners for macro-genomic sequencing and bioinformatics analysis. The results of the study indicated that the intestinal flora of CRC patients had a significant increase in harmful bacteria and a decrease in beneficial bacteria. Specifically, bacteria associated with inflammation and cancer, such as Fusobacterium nucleatum and Bilophila wadsworthia, were found to be significantly more abundant in the gut flora of CRC patients, whereas bacteria with anti-inflammatory and metabolic functions, such as Phocaeicola and Roseburia intestinalis, were more abundant. Furthermore, the gut flora of healthy partners exhibited increased carbohydrate degradation, while the gut flora of CRC patients demonstrated enhanced amino acid metabolism. Subsequent association analyses indicated that a significantly higher proportion of strains within the CRC group exhibited a positive association with KEGG pathways that promote inflammation and activate cancer pathways. In contrast, strains within the healthy group demonstrated a positive association with pathways related to antimicrobial substance synthesis, lipid metabolism, amino acid metabolism and energy production. The findings of this study indicate that, despite the fact that patients suffering from CRC and healthy family members inhabit similar dietary and living environments, the presence of CRC significantly alters the composition and function of the intestinal flora, resulting in an increase in the abundance of harmful and cancer-promoting organisms, and a concomitant decrease in the abundance of beneficial bacteria. These findings provide new potential biomarkers and targets for intervention in the diagnosis and treatment of CRC.
PRJDB36191	Metagenomic anlysis of Af colonization (PRJCA019345)	Detecting the colonization of bacteria Af in the mouse intestine using metagenomic sequencing
PRJDB36334	Comparative Macrogenomics Reveal Plateau Adaptation of Gut Microbiota in Cervids (PRJCA031028)	Metagenome Gut Microbiota in Cervids
PRJDB36502	Whole-metagenome shotgun sequencing of pig gut microbiota (PRJCA038760)	We conducted high-resolution shotgun metagenomic sequencing to comprehensively characterize the gut microbial ecosystem in response to porcine deltacoronavirus (PDCoV) infection.
PRJDB36556	The gut DNA viromes in wild Large-billed Crows and Northern Ravens (PRJCA039217)	Metagenomic sequencing based methods targeting DNA of virus-like particles enriched from the feces were used in this study to characterize the gut DNA viromes of wild Large-billed Crows and Northern Ravens.
PRJDB36557	The gut RNA viromes in wild Large-billed Crows and Northern Ravens (PRJCA039220)	Metagenomic sequencing based methods targeting RNA of virus-like particles enriched from the feces were used in this study to characterize the gut RNA viromes of wild Large-billed Crows and Northern Ravens.
PRJDB36775	Metagenome for CKD (HS study) (PRJCA040203)	Metagenome samples of HS study for Gut microbial ammonia metabolism contributes to the pathogenesis of chronic kidney disease
PRJDB36826	Metagenomic data of the gut microbiota in healthy young individuals (PRJCA040384)	This project encompasses metagenomic sequencing data derived from fecal samples of healthy individuals aged 20 - 25 years. The data underwent rigorous quality control. Post-quality control, the sequencing reads were aligned to the host genome to remove those that matched the host genome. Subsequently, taxonomic classification was performed using a customized Kraken2 microbial database.
PRJDB36846	Methane-oxidizing bacteria regulate intestinal peristalsis and fat metabolism in the gut via reducing methane levels (PRJCA040467)	As one of the main components of human intestinal gas, methane has been reported to play a role in the disruption of intestinal motility, in turn related to high body index. However, the role of methane-oxidizing bacteria (methanotrophs) in mitigating methane-induced gut dysfunction remains largely unexplored. In this study, we isolated a novel gut methanotroph, Candidatus Methylocystis intestini, from human fecal samples. Using mice as a model, we found the decreasing intestinal motility and the disorder of fat metabolism when challenged with methane. We also show that Candidatus Methylocystis intestini reverses these processes.
PRJDB36905	Metagenomic sequencing of humans, pigs, and environment along the pork supply chain (PRJCA040681)	To explore the potential transmission of ARGs among humans, pigs, and the environment along the pork supply chain.
PRJDB36916	Gut metagenomic data for sepsis patients (PRJCA040720)	This study contains gut metagenomic data for sepsis patients.
PRJDB37067	The Impact of Captivity on the Antibiotic Resistome of Wildlife (PRJCA041365)	This study aims to investigate the occurrence characteristics of the antibiotic resistome in wildlife and the impact of human captivity levels on their resistome.
PRJDB37496	Gut microbiome of 50 Japanese adults	This project investigates the relationship between gut microbiome and fatigue in the context of healthy. Fecal samples were collected from healthy Japanese adults and fatigue assessment were conducted in the same time. Using whole genome sequencing, we characterized taxonomic and functional characteristics in the gut microbiome.
PRJDB37508	Human Gut Metagenome	Total microbial community DNA was isolated from the fecal samples of Japanese patients who underwent colonoscopy at National Cancer Research Center. The study population contains subjects diagnosed with Colorectal Cancer.
PRJDB38277	Characteristics of intestinal bacteria in long-lived elderly (PRJCA019954)	This project aims to explore the characteristics of bacterial structure and function in long-lived individuals, as well as the correlation of between bacteria and clinical indicators, in order to discover intestinal bacteria and functional pathways closely related to longevity and healthy ageing.
PRJDB38518	Human gut virome (PRJCA034040)	Human gut virome relation with ASD and healthy children
PRJDB38615	A study on the function of the gut microbiome in giant pandas (PRJCA039066)	A study on the function of the gut microbiome in giant pandas.
PRJDB38794	Metagenomic sequencing of Apis cerana before and after infection with CSBV (PRJCA042469)	The changes of intestinal flora before and after CSBV infection in Apis cerana cerana by metagenomic sequencing.
PRJDB38848	The gut DNA viromes in wild Rooks (Corvus frugilegus), Red-billed choughs (Pyrrhocorax pyrrhocorax), and Daurian jackdaws (Corvus dauuricus) (PRJCA042774)	Metagenomic sequencing based methods targeting DNA of virus-like particles enriched from the feces were used in this study to characterize the gut DNA viromes of wild Rooks (Corvus frugilegus), Red-billed choughs (Pyrrhocorax pyrrhocorax), and Daurian jackdaws (Corvus dauuricus).
PRJDB38851	The gut RNA viromes in wild Rooks (Corvus frugilegus), Red-billed choughs (Pyrrhocorax pyrrhocorax), and Daurian jackdaws (Corvus dauuricus) (PRJCA042798)	Metagenomic sequencing based methods targeting RNA of virus-like particles enriched from the feces were used in this study to characterize the gut RNA viromes of wild Rooks (Corvus frugilegus), Red-billed choughs (Pyrrhocorax pyrrhocorax), and Daurian jackdaws (Corvus dauuricus).
PRJDB38938	Multi-omics analysis reveals the molecular mechanisms of gut microbiota in Parkinson's disease (PRJCA043238)	PD is the second most common neurodegenerative disorder, marked by motor and GI symptoms. Gut microbiota dysbiosis is closely involved in PD pathogenesis. Our study shows that PD patient-derived microbiota induces PD-like symptoms in the GF mice. By leveraging a multi-omics approach including midbrain snRNA-seq, fecal metagenomics, and serum metabolomics, it suggests that gut microbiota dysbiosis may drive the metabolic alterations that compromise BBB integrity, ultimately promoting dopaminergic neurodegeneration. Notably, microbiota-derived bile acid DCA emerges as a critical contributor to disease progression.
PRJDB39230	Research on the Adaptive Mechanisms of the Gut Microbiota in Mongolian Wild Ass (PRJCA045328)	This project aims to systematically investigate the compositional characteristics of the gut microbiota in the Mongolian wild ass and its adaptive mechanisms to arid desert environments. Through metagenomic sequencing and functional analysis, the study will elucidate the roles of gut microorganisms in nutrient utilization, stress resistance, and host health, thereby providing a scientific basis for the conservation of endangered species and the sustainable development of desert-steppe ecosystems.
PRJDB39249	Gut Microbiota Was Reshaped in beta-thalassemia Monkeys via the Blood-Gut Axis and Contributed to Gastrointestinal Symptoms (PRJCA039278)	Patients with anemia caused by hemoglobin Î² (HBB) gene mutations, such as Î²- thalassemia, are often present with gastrointestinal symptoms, the underlying mechanisms remain incompletely understood. In this study, we utilized gene editing to create HBB-mutant cynomolgus monkeys and employed metagenomic and metabolomic analyses to investigate the differences in gut microbiome characteristics between HBB gene-edited cynomolgus monkeys and wild-type (WT) cynomolgus monkeys. Ultra performance liquid chromatography-mass spectrometry (UPLC-MS) analysis revealed significant differences in the metabolite profiles between WT and the HBB mutants, particularly in the amino acid and lipid metabolism pathways. Metagenomic analysis demonstrated significant differences in the abundance of Lactobacillus and Bacteroides genera between the two groups, with the HBB mutants exhibiting a lower microbial diversity. Further functional analysis indicated that gene knockout significantly altered several key metabolic pathways, including amino acid and energy metabolism. These integrated findings suggest that HBB mutants potentially affect host metabolism and immune responses by modulating interactions between the gut microbiota and its metabolites. This study, for the first time, demonstrates in non-human primates that Î²- thalassemia can influence gastrointestinal health by altering the homeostasis of the gut microbiota, and offers valuable references for understanding the potential mechanisms underlying Î²-thalassemia symptoms, highlighting the impact of host genetic variations on gut microbiome regulation.
PRJDB4176	metagenomic data from human fecal samples	Total microbial community DNA was isolated from the fecal samples of Japanese patients who underwent colonoscopy at National Cancer Research Center. The study population contains health, early and advanced cancer stages.
PRJDB4525	Shotgun metagenomics of fecal bacterial consortium inhabiting healthy Asian children	Recent development in intestinal microbiology has revealed crucial functions of gut microbiota as interface between diet and health and the question has arisen how diet modulates gut microbial community. In this context, Asia is an interesting association of cohorts with their own food habit unique to each country or region. To investigate the correlation among diet, health, and gut microbiota, Asian Microbiome Project (AMP) has been established with ten countries and Phase I study was already performed by focusing on children gut microbiota, which were expected to more depend on regional food compared to adult. Their microbiota has been analyzed based on 16S rRNA gene sequencing. As a result, we have found two distinctive enterotypes, Bifidobacterium/Bacteroides (BB) enterotype and Prevotella (P) enterotype in these Asian population, as well as local differences unique to each country or region. BB-enterotype was enriched in temperate countries, such as Japan and China, while P-enterotype was frequent in tropical countries. In conjunction with dietary survey, it is suspected that these difference may be a reflection of their dietary habit. To correlate the function of their gut microbial community with diet input, we performed shotgun metagenomic sequencing of those microbial community and gained overview on consortium of functional genes, e.g., network of anabolic and catabolic pathway enriched in each food-oriented enterotype or biosynthesis of beneficial or non-benefical compounds, such as vitamins or secondary bile acids.
PRJDB5383	Identification of a novel bovine enterovirus possessing highly divergent amino acid sequences in capsid protein	Metagenomic analysis using Miseq was performed on feces collected in cattle. In the present study, we identified a novel Bovine enterovirus in diarrheal feces collected for that survey.
PRJDB6165	Aggregatibacter actinomycetemcomitans, gut microbiota in mice eating high fat diet	we examined the relationship between periodontal bacterial infection and clinical/biochemical parameters in 52 NAFLD patients. Anti-Aggregatibacter actinomycetemcomitans (Aa) antibody titers correlated positively with visceral fat, fasting plasma insulin, and HOMA-IR and negatively with the L/S ratio. C57BL/6J mice (8-weeks-old) were given Aa or saline (control) for 6 weeks, and were fed either normal chow (NCAa, NCco) or high-fat diet (HFAa and HFco).
PRJDB6503	Method assessment of fecal DNA extraction	Method assessment of DNA extraction from 3 adults feces (Ogata et al). The shotgun genome sequence was carried out using MiSeq (illumina).
PRJDB6620	Shotgun sequencing of mouse small intestinal contents	Accumulating evidence indicates that gut microbes play a pathogenic role in autoimmune diseases including multiple sclerosis (MS). Here, we show that two distinct signals from gut microbes coordinately activate myelin oligodendrocyte glycoprotein (MOG)-specific autoreactive T cells in the small intestine (SI). After induction of experimental autoimmune encephalomyelitis (EAE), an animal model for MS, MOG-specific CD4 T cells can be observed in the SI. Germ-free (GF) mice monocolonized with SI microbes demonstrated that a newly isolated Erysipelotrichaceae strain adheres to SI epithelial cells and enhances Th17 responses, via inducing serum amyloid A and IL-23, that were associated with an increased susceptibility to EAE. Shotgun sequencing of SI contents revealed that a Lactobacillus strain possesses potential mimicry peptides to MOG. While monocolonization of GF mice with the Lactobacillus strain did not enhance EAE development or severity, co-colonized mice with Erysipelotrichaceae and Lactobacillus strains resulted in more severe EAE.
