study_accession	discrepancy_flags	discrepancy_host	discrepancy_host_missing	discrepancy_gut	discrepancy_multihost	discrepancy_notes	paper_title	host_species
PRJNA1135945	multihost_issue				Deposit biome labels explicitly list TWO distinct host species: 'Mus musculus' and 'human gut metagenome' (implying Homo sapiens). The paper presents a single-host study design using murine models, with no mention of simultaneous human sampling.	A multihost_issue is present: the deposit biome labels explicitly declare both Mus musculus and human samples, whereas the paper describes only a murine animal-model study.	Gut microbiota dysbiosis exacerbates acute pancreatitis via <i>Escherichia coli</i>-driven neutrophil heterogeneity and NETosis.	Homo sapiens
PRJEB14215	host_missing		paper names: human; deposit blank/generic			Host missing: deposit lacks formal host field metadata despite paper's explicit description of human cohorts; biome label confirms human origin but structured host field should be populated.	Iron status influences non-alcoholic fatty liver disease in obesity through the gut microbiome.	
PRJEB12449	host_missing		paper names: human; deposit blank/generic			Host metadata is missing from the ENA deposit host field despite the paper clearly describing a human gut microbiome study.	Diversity and distribution of sulfur metabolic genes in the human gut microbiome and their association with colorectal cancer.	
PRJNA599288	host_missing; multihost_issue		paper names: Apis cerana (Eastern honey bee) and Apis mellifera (Western honey bee); deposit blank/generic		Isolation sources explicitly state two species: 'eastern honey bee gut' and 'western honey bee gut'. Sample titles reference 'insect gut metagenome' generically, but the isolation sources clarify two distinct Apis species are represented.	Host species information is missing from the structured ENA host field (should capture Apis cerana and Apis mellifera), though isolation sources do reference both bee species. The study intentionally compares two distinct honey bee hosts, which is explicit in the deposit.	Genetic divergence and functional convergence of gut bacteria between the Eastern honey bee Apis cerana and the Western honey bee Apis mellifera.	missing
PRJEB33338	host_missing		paper names: chicken (Gallus gallus); deposit blank/generic			Host metadata is missing from the ENA deposit (host field blank) despite the paper clearly studying chicken samples, creating a metadata gap that should be recorded.	Extensive microbial diversity within the chicken gut microbiome revealed by metagenomics and culture.	
PRJNA1090271	host_missing		paper names: human; deposit blank/generic			Host metadata is missing from the deposit (should record 'human'), but no other data-quality issues detected.	Gut Microbiome in Human Melioidosis: Composition and Resistome Dynamics from Diagnosis to Discovery.	missing
PRJNA401977	host_missing		paper names: humans; deposit blank/generic			Host field is missing from the deposit metadata despite the paper and biome label clearly indicating human origin.	Oral probiotics increased the proportion of Treg, Tfr, and Breg cells to inhibit the inflammatory response and impede gestational diabetes mellitus.	
PRJEB21612	host_missing		paper names: various primate species (Guangxi primates); deposit blank/generic			Host missing: paper studies multiple primate species but deposit host field is blank, representing a metadata gap rather than a contradiction.	Antibiotic resistance profiles of gut microbiota across various primate species in Guangxi.	
PRJEB66719	host_missing		paper names: human; deposit blank/generic			Host is missing from the structured deposit field despite the paper's clear focus on human gut microbiome and the biome label providing implicit confirmation.	Gut microbes with the <i>gbu</i> genes determine TMAO production from L-carnitine intake and serve as a biomarker for precision nutrition.	
PRJNA678871	host_mismatch; gut_sample_issue; multihost_issue	paper: Chicken (Gallus gallus domesticus) vs deposit: Homo sapiens		Isolation sources include: 'Chicken gut' (gut), 'Human gut' (gut), 'chicken carcass' (surface), 'farm soil' (environmental soil).	Isolation sources explicitly list both 'Chicken gut' and 'Human gut' as distinct origins, plus 'chicken carcass' and 'farm soil'. The deposit sample-level metadata identifies samples from at least two distinct host species: chicken and human.	Multiple valid errors: host field incorrectly lists Homo sapiens when primary samples are from chicken; deposit includes non-gut samples (carcass, soil) without clear study design separation; sample-level data reveal multiple distinct host species (chicken and human) not clearly distinguished in the paper's framing.	Machine learning and metagenomics reveal shared antimicrobial resistance profiles across multiple chicken farms and abattoirs in China.	Homo sapiens
PRJNA1293880	host_missing		paper names: giant panda (Ailuropoda melanoleuca); deposit blank/generic			Host metadata is missing from the ENA deposit despite the paper clearly studying giant panda gut microbiota; this represents a reporting gap (host_missing) rather than a conflict.	Microoxic conditions promote Escherichia-associated cellulase expression in the giant panda gut.	
PRJNA598094	multihost_issue				Deposit host_species_list shows TWO DISTINCT species: Apis cerana japonica and Apis mellifera. Paper presents these as TWO SEPARATE SPECIES being compared, not as a single host.	No genuine reporting errors detected. The deposit correctly captures two distinct honey bee host species that are the focus of a comparative metagenomics study.	Vast Differences in Strain-Level Diversity in the Gut Microbiota of Two Closely Related Honey Bee Species.	Apis cerana japonica
PRJEB27928	host_missing		paper names: humans; deposit blank/generic			Host identity is missing from the deposit host field despite the paper clearly studying human samples; this represents a metadata reporting gap.	Microbiome as Mediator of Diet on Colorectal Cancer Risk: The Role of Vitamin D, Markers of Inflammation and Adipokines.	
PRJEB76898	host_mismatch; gut_sample_issue; multihost_issue	paper: Lepus europaeus (European hares) vs deposit: Podarcis muralis (wall lizard) listed as primary host; 22 distinct host species across samples including Lepus europaeus		Biome labels include 'oral metagenome' and 'indoor metagenome' alongside 'feces metagenome'. The paper is framed as a gut microbiota study, but the deposit contains samples from non-gut sites (oral cavity) and non-specific indoor environments.	The host_species_list in the deposit explicitly names 22 distinct host species across samples: Calotriton asper, Canis lupus familiaris, Chalcides striatus, Geospizopsis unicolor, Lepus europaeus, Lissotriton helveticus, Natrix astreptophora, Perisoreus infaustus, Plecotus auritus, Podarcis filfolensis, Podarcis gaigeae, Podarcis liolepis, Podarcis milensis, Podarcis muralis, Podarcis pityusensis, Psittacula echo, Salamandra atra, Sciurus carolinensis, Sciurus vulgaris, Strix aluco, and others.	Critical data integrity issues: deposit host field contradicts paper (Podarcis muralis vs Lepus europaeus), non-gut samples (oral) are mixed into a gut microbiota study, and the deposit contains samples from 22 distinct host species while the paper describes a single-host hare study.	Grass supplementation to a pellet-based diet fails to enrich gut microbiomes with wild-like functions in captive-bred hares.	Podarcis muralis
PRJEB30661	host_missing		paper names: Tor putitora; deposit blank/generic			Host species identity (Tor putitora) is missing from the deposit host field, which contains only the generic descriptor 'fish gut metagenome'.	Gut microbiome of endangered Tor putitora (Ham.) as a reservoir of antibiotic resistance genes and pathogens associated with fish health.	fish gut metagenome
PRJNA844935	gut_sample_issue			Sample titles and isolation sources indicate 'Microbe sample from Enterococcus faecalis', 'Microbe sample from Escherichia coli', and 'Sample survived whole blood assay'. The 'whole blood assay' isolation source and bacterial culture isolates (not gut samples) contradict a gut-microbiome study framing.		Gut sample issue flagged: deposit metadata reveals blood-assay bacterial isolates rather than gut samples, contradicting the paper's gut-microbiome framing.	Aging-Associated Augmentation of Gut Microbiome Virulence Capability Drives Sepsis Severity.	Mus musculus
PRJNA942468	host_missing		paper names: human; deposit blank/generic			Host missing: the paper studies human IBD patients but the deposit host field lacks explicit host species annotation.	A meta-analysis of the gut microbiome in inflammatory bowel disease patients identifies disease-associated small molecules.	HV001_G05_0464_BDME190634659-1a_HMJH7DSXX_L1;HV001 G05 0464 BDME190634659-1a HMJH7DSXX L1
PRJNA1116530	host_mismatch	paper: Dezhou donkeys (Equus asinus) vs deposit: Bacillota (bacterial phylum)				The deposit host field incorrectly contains bacterial phylum names (Bacillota) instead of the donkey host organism that the paper studies.	Effects of concentrate feeding sequence on VFA production, and cecal microbiota of Dezhou donkeys by metagenomic technology.	Bacillota
PRJNA1428229	host_missing		paper names: Tetrix japonica (pygmy grasshopper); deposit blank/generic			Host species is missing from the deposit metadata, though the paper clearly identifies Tetrix japonica as the single host organism.	Habitat-driven variation in gut microbiome composition and function of the pygmy grasshopper (Tetrix japonica) across diverse ecosystems in China.	
PRJEB62607	host_missing		paper names: hindgut-fermenting carnivores (specific species from Givskud Zoo, presumably felids or similar); deposit blank/generic			The deposit is missing explicit host species identification despite the paper studying specific carnivore species from a zoo; this is a host_missing issue, not a contradiction.	Trait-based study predicts glycerol/diol dehydratases as a key function of the gut microbiota of hindgut-fermenting carnivores.	feces metagenome
PRJNA853153	host_missing		paper names: humans and mice; deposit blank/generic			The deposit host field is incorrectly populated with a bacterial phylum (Bacillota) instead of the actual host organisms (human and/or mouse), representing a host_missing metadata error.	Alternation of the gut microbiota in metabolically healthy obesity: An integrated multiomics analysis.	Bacillota
PRJNA327106	gut_sample_issue			Deposit biome labels include 'human oral metagenome' and 'human skin metagenome' in addition to 'human gut metagenome'. Sample titles and isolation sources reference gut samples (DOL X gut), but biome labels explicitly indicate non-gut body sites.		The deposit metadata includes oral and skin metagenome biome labels that conflict with the paper's focus on infant gut microbiome, representing a genuine sample-type reporting inconsistency.	Infant age inversely correlates with gut carriage of resistance genes, reflecting modifications in microbial carbohydrate metabolism during early life.	Homo sapiens
PRJNA356809	host_mismatch; multihost_issue	paper: Ailuropoda melanoleuca (giant panda) vs deposit: Lynx lynx (Eurasian lynx); Panthera pardus (leopard)			Deposit sample-level data explicitly lists two distinct host species: Lynx lynx and Panthera pardus. The paper presents a single-host study (giant panda only).	Critical host identity error: deposit contains felid species (lynx, leopard) data while paper studies only giant pandas; additionally, multiple host species in deposit contradicts the single-species study design.	Comparative Study of Gut Microbiota in Wild and Captive Giant Pandas (Ailuropoda melanoleuca).	Lynx lynx
PRJNA1222153	host_missing		paper names: canine (dog); deposit blank/generic			Host metadata is missing from the deposit despite the paper clearly studying canine (dog) gut microbiome.	Waltham catalogue for the canine gut microbiome: a complete taxonomic and functional catalogue of the canine gut microbiome through novel metagenomic based genome discovery.	
PRJNA1119043	host_mismatch; multihost_issue	paper: donkeys and cows vs deposit: Cow; sample titles and biome labels reference 'mouse gut metagenome'			Deposit host field states 'Cow'; deposit sample titles and biome labels explicitly reference 'mouse gut metagenome'. The sample-level metadata independently identify mouse as a host organism alongside cow.	Critical data integrity issue: the paper describes donkey and cow digestive microbiomes, but the deposit contains mouse and cow samples, with mouse explicitly named in sample titles and biome labels.	Metagenomic analysis reveals the community composition of the microbiome in different segments of the digestive tract in donkeys and cows: implications for microbiome research.	Cow
PRJEB40824	multihost_issue				Deposit sample-level data explicitly lists 5 distinct host species (Gallus gallus, Meleagris gallopavo, Rodentia, Sus scrofa, Vulpes vulpes) while paper treats them as a comparative set of multiple animal species investigated together.	The study samples multiple distinct host species (5 confirmed in deposit); this is appropriate and transparent in both sources, but constitutes a legitimate multihost_issue per the strict protocol.	A metagenomic glimpse into the gut of wild and domestic animals: Quantification of antimicrobial resistance and more.	Sus scrofa
PRJEB51353	host_missing		paper names: human; deposit blank/generic			Host species metadata is missing from the ENA deposit despite paper clearly describing a human gut microbiota study.	OSA Is Associated With the Human Gut Microbiota Composition and Functional Potential in the Population-Based Swedish CardioPulmonary bioImage Study.	
PRJEB66439	multihost_issue				Deposit host_species_list contains: 'Blank sample', 'Canis lupus familiaris', 'Mock community', and 'synthetic metagenome'. Sample titles explicitly reference 'Blank_sample_DNA_H1H_10_G6' etc., and biome labels include 'blank sample' and 'synthetic metagenome' alongside 'Canis lupus familiaris'.	Valid multihost_issue detected: deposit sample-level metadata explicitly documents blank and synthetic metagenome controls alongside canine samples, though this mixture is appropriate for a validation study establishing detection thresholds.	Defining a metagenomic threshold for detecting low abundances of Providencia alcalifaciens in canine faecal samples.	Canis lupus familiaris
PRJNA1187897	host_missing		paper names: dairy ruminants; deposit blank/generic			Host is missing from the deposit metadata field (metadata gap), though the paper clearly identifies dairy ruminants and the biome label hints at bovine origin.	Disruption of hindgut microbiome homeostasis promotes postpartum energy metabolism disorders in dairy ruminants by inhibiting acetate-mediated hepatic AMPK-PPARA axis.	missing
PRJNA844237	host_missing		paper names: sows (Sus scrofa domesticus implied); deposit blank/generic			Host missing: the deposit host field lacks explicit taxonomic host designation, containing only a sample identifier rather than species name.	Impact of Raised without Antibiotics Measures on Antimicrobial Resistance and Prevalence of Pathogens in Sow Barns.	RWA-Fecal-Sow1-time1
PRJNA814825	multihost_issue				Deposit host_species_list contains 2 distinct species: Equus hemionus hemionus and Equus przewalskii. Deposit host field lists only 'Equus przewalskii', creating inconsistency in the deposit metadata itself.	Deposit metadata shows conflicting host information: primary host field lists only Equus przewalskii while sample-level host_species_list explicitly includes both Equus hemionus hemionus and Equus przewalskii, though this actually matches the paper's two-species comparative design.	Comparative Analysis of Microbiome Metagenomics in Reintroduced Wild Horses and Resident Asiatic Wild Asses in the Gobi Desert Steppe.	Equus przewalskii
PRJNA376580	host_missing; gut_sample_issue		paper names: Infants (human); deposit blank/generic	Sample titles and isolation sources indicate 'NICU room sample', 'hospital NICU surfaces and sink samples' from Magee Womens Hospital. The deposit metadata explicitly identifies these as NICU environmental/surface samples, NOT gut samples.		Critical mismatch: the paper describes an infant gut-microbiome study, but the deposit contains environmental samples (NICU room surfaces and sinks) from a hospital, not infant gut samples. Additionally, the human host is missing from the deposit host field.	Infant age inversely correlates with gut carriage of resistance genes, reflecting modifications in microbial carbohydrate metabolism during early life.	indoor metagenome
PRJNA313232	host_mismatch	paper: homeothermic animals (plural, general term encompassing multiple species) vs deposit: Homo sapiens (single species)				The deposit host field (Homo sapiens only) contradicts the paper's scope (guts of homeothermic animals, plural), representing genuine host metadata underspecification.	Genomic characterization of the uncultured Bacteroidales family S24-7 inhabiting the guts of homeothermic animals.	Homo sapiens
PRJEB4336	host_missing		paper names: humans (Type 2 diabetes patients; study mentions populations including Danish and Latvian cohorts); deposit blank/generic			Host identity is missing from the structured deposit host field despite clear human origin indicated in biome label and sample title.	Changes in the Type 2 diabetes gut mycobiome associate with metformin treatment across populations.	
PRJNA1247471	host_missing		paper names: Ailuropoda melanoleuca (giant panda); deposit blank/generic			Host missing: the paper identifies giant pandas (Ailuropoda melanoleuca) as the study subject, but the deposit host field is empty.	Seasonal diet shifts alter the gut microbiome and resistome of captive geriatric giant pandas (Ailuropoda melanoleuca).	
PRJNA657304	gut_sample_issue			Isolation sources include 'bone - JBG2', 'bone - JBG47', and 'soil'. Biome labels include 'soil metagenome'. Sample titles reference features (archaeological contexts) but include bone and soil samples alongside coprolites.		The study correctly analyzes dog (Canis lupus familiaris) coprolites, but the deposit includes non-gut samples (bone and soil) alongside coprolites, which represents a legitimate gut_sample_issue per deposit ground truth.	Integrative analysis of DNA, macroscopic remains and stable isotopes of dog coprolites to reconstruct community diet.	Canis lupus familiaris
PRJNA953833	host_missing		paper names: mouse (BXD population); deposit blank/generic			Host missing: the paper names mouse as the host, but the ENA deposit host field is blank, indicating incomplete metadata.	Integrative analysis of the mouse cecal microbiome across diet, age, and weight in the diverse BXD population.	
PRJEB39500	host_missing		paper names: human; deposit blank/generic			host_missing flagged: paper describes human subjects but deposit host field is blank, creating a metadata gap.	Changes in the Type 2 diabetes gut mycobiome associate with metformin treatment across populations.	
PRJNA385949	host_missing		paper names: human (inflammatory bowel disease patients); deposit blank/generic			Host species metadata is missing from the deposit host field despite the paper describing human IBD patients; biome and source metadata indirectly confirm human origin, but explicit host field curation gap exists.	A meta-analysis of the gut microbiome in inflammatory bowel disease patients identifies disease-associated small molecules.	
PRJNA1064611	gut_sample_issue			Sample titles include 'Water_1' and biome labels include 'freshwater metagenome'. The paper states metagenomes were sampled from both piranha gut AND river water. The deposit sample-level metadata shows water samples (Water_1) alongside fish samples (Swab_1-4), but there is no body-site designation for the swabs. The study explicitly compares fish microbiome to river water microbiome, and water samples are clearly non-gut environmental samples.		No reporting errors detected. The deposit correctly identifies Serrasalmus rhombeus as the host, and the inclusion of water samples alongside fish samples accurately reflects the paper's comparative design of sampling from both piranha and river water.	The piranha gut microbiome provides a selective lens into river water biodiversity.	Serrasalmus rhombeus
PRJEB35362	host_missing; gut_sample_issue; multihost_issue		paper names: human and canine (dog); deposit blank/generic	Biome labels include 'soil metagenome' alongside 'gut metagenome' and 'human gut metagenome'. The abstract mentions 'non-fecal sediments' as a control/comparison category that the pipeline distinguishes from fecal material.	Biome labels explicitly include both 'human gut metagenome' and (implied by 'canine paleofeces' in paper) separate host species. Samples with biome='gut metagenome' (generic) and 'human gut metagenome' suggest at least human origin, and paper states canine samples are also present and distinguishable, yet deposit lacks explicit canine host labeling.	The study has multiple reporting gaps: host species information is missing from the deposit despite being central to the paper's analysis (human and canine paleofeces distinguished), the deposit includes soil metagenome samples (non-gut controls), and the multihost nature is not clearly reflected in deposit host-species annotation.	CoproID predicts the source of coprolites and paleofeces using microbiome composition and host DNA content.	
PRJNA1227608	host_mismatch; gut_sample_issue	paper: ruminant (cattle/buffalo implied by ruminant intestinal microbiome study) vs deposit: Mazzaella japonica (a red macroalga, not a ruminant host)		Isolation source includes 'seaweed tuft' which is neither a gut sample nor from a ruminant animal. The deposit metadata explicitly lists seaweed as an isolation source, contradicting the paper's focus on ruminant intestinal (gut) samples.		Critical errors: deposit host is Mazzaella japonica (seaweed), not a ruminant animal as the paper describes; isolation sources include seaweed tuft, inconsistent with a ruminant gut microbiome study.	Distribution of microbial carrageenan foraging pathways reveals a widespread latent trait within the ruminant intestinal microbiome.	Mazzaella japonica
PRJNA599289	host_missing; multihost_issue		paper names: Apis cerana (Eastern honey bee) and Apis mellifera (Western honey bee); deposit blank/generic		The deposit's isolation sources explicitly list TWO DISTINCT host species: 'eastern honey bee gut' and 'western honey bee gut' (corresponding to Apis cerana and Apis mellifera). Sample titles label these as separate insect gut metagenomes.	The deposit has a host_missing error (host species field blank despite being named in isolation sources) and a multihost_issue (sample-level data explicitly documents two distinct honey bee species as separate hosts).	Genetic divergence and functional convergence of gut bacteria between the Eastern honey bee Apis cerana and the Western honey bee Apis mellifera.	missing
PRJNA999451	host_missing; gut_sample_issue		paper names: piglets; deposit blank/generic	Isolation source field shows 'Heghba'' (unrecognized/non-standard term); sample titles describe 'Metagenome or environmental sample from metagenome' with no body-site specification. Paper explicitly states cecum sampling, but deposit lacks this body-site information.		Deposit metadata is incomplete: host field is missing and body-site information is absent despite paper's explicit focus on piglet cecum samples during weaning stress.	Integrated Metagenomic and Metabolomics Profiling Reveals Key Gut Microbiota and Metabolites Associated with Weaning Stress in Piglets.	
PRJNA1261602	host_missing		paper names: mouse; deposit blank/generic			Host metadata is missing from the ENA deposit (paper describes mouse EAU model but deposit host field is blank), representing a metadata gap rather than a contradiction.	Influence of programmed death ligand 1 (PD-L1) knockout on gut microbiota in experimental autoimmune uveitis.	
PRJEB33500	host_missing		paper names: human (Homo sapiens); deposit blank/generic			Host_missing only: paper describes human subjects but deposit host field is empty, though sample titles correctly label samples as 'human gut metagenome'.	Mediterranean diet intervention in overweight and obese subjects lowers plasma cholesterol and causes changes in the gut microbiome and metabolome independently of energy intake.	
PRJEB25514	host_missing		paper names: Humans (long-living people in China); deposit blank/generic			Host missing: paper studies human gut microbiota but deposit host field is blank, representing a metadata gap rather than a conflict.	Gut Microbiota Composition and Metabolic Potential of Long-Living People in China.	
PRJEB37062	host_missing; multihost_issue		paper names: human donors and preclinical animal models (mouse, rat, pig, rabbit); deposit blank/generic		Deposit biome labels explicitly name five distinct hosts: human, mouse, pig, rabbit, rat. Sample titles (WLS-006 through WLS-038) map to different biome categories. Paper title and abstract focus on 'interpersonal differences in gut microbiota' (suggesting human focus) but deposit contains samples from at least 5 different host species.	The deposit host field is missing (host_missing), and the deposit sample-level biome labels reveal explicit multi-host data (human, mouse, pig, rabbit, rat) that the paper's emphasis on 'interpersonal differences' does not clearly forefront as the primary study design.	Linking interpersonal differences in gut microbiota composition and drug biotransformation activity.	
PRJNA1353630	host_missing		paper names: Macaca thibetana (Tibetan macaque); deposit blank/generic			Host missing: paper identifies Tibetan macaques as the study subject, but deposit provides no host field metadata.	Effects of Age, Sex, and Social Network on Antibiotic Resistance Genes in the Gut Microbiome of Tibetan Macaques (<i>Macaca thibetana</i>).	
PRJEB10338	host_missing		paper names: bovine (cattle); deposit blank/generic			Host metadata is missing from the ENA deposit, though the paper clearly identifies bovine as the source organism.	A catalog of microbial genes from the bovine rumen unveils a specialized and diverse biomass-degrading environment.	
PRJEB6456	host_missing		paper names: homeothermic animals (implied to include humans based on context); deposit blank/generic			Host identity is missing from the deposit's structured host field, though sample-level metadata (titles and biome label) clearly indicates human gut origin, which is consistent with the paper's reference to homeothermic animals.	Genomic characterization of the uncultured Bacteroidales family S24-7 inhabiting the guts of homeothermic animals.	
PRJNA635116	multihost_issue				Paper title and abstract explicitly state the study compares 'Traditional Human Populations and Nonhuman Primates'. The deposit host field shows only 'Gorilla1', indicating gorilla samples only. The paper describes sampling from BOTH humans and nonhuman primates (gorillas), but the deposit metadata appear to represent only gorilla host.	The paper describes a comparative study of human and nonhuman primate (gorilla) gut microbiomes, but the deposit host field only identifies 'Gorilla1', suggesting potential underreporting of human samples in the metadata.	Traditional Human Populations and Nonhuman Primates Show Parallel Gut Microbiome Adaptations to Analogous Ecological Conditions.	Gorilla1
PRJNA1029302	host_mismatch	paper: ruminant (cattle/sheep/buffalo implied by 'ruminant intestinal microbiome') vs deposit: Kyphosus sydneyanus (a fish species)				Critical host mismatch: paper describes a ruminant (mammal) microbiome study, but deposit contains fish (Kyphosus sydneyanus) gut samples — a genuine and fundamental conflict.	Distribution of microbial carrageenan foraging pathways reveals a widespread latent trait within the ruminant intestinal microbiome.	Kyphosus sydneyanus
PRJNA352475	gut_sample_issue			Deposit isolation_sources include: 'chest skin', 'tongue dorsum', 'vaginal introitus' in addition to 'stool'. Paper title and abstract focus on infant gut microbiome and resistance genes in gut carriage, implying gut-only analysis. Deposit metadata reveals non-gut samples (skin, oral, vaginal) mixed in the study.		Valid reporting error detected: deposit sample-level metadata reveals non-gut body sites (chest skin, tongue, vaginal) mixed with gut samples, contradicting the paper's focus on gut microbiome.	Infant age inversely correlates with gut carriage of resistance genes, reflecting modifications in microbial carbohydrate metabolism during early life.	Homo sapiens
PRJNA407583	host_missing		paper names: Ailuropoda melanoleuca (giant panda); deposit blank/generic			Host missing: the paper clearly identifies giant panda as the study organism, but the deposit host field is blank.	Metagenomic Study Suggests That the Gut Microbiota of the Giant Panda (Ailuropoda melanoleuca) May Not Be Specialized for Fiber Fermentation.	
PRJNA616396	host_missing		paper names: human; deposit blank/generic			Host species metadata is missing from the deposit (only generic 'gut' provided), creating a gap between the paper's implied human study and the deposit's blank host_species field.	A dysregulated bile acid-gut microbiota axis contributes to obesity susceptibility.	gut
PRJEB22062	host_mismatch	paper: chicken vs deposit: pig (inferred from sample titles NL-PooledPig-F1-*)				Critical host_mismatch: paper describes chicken gut microbiome, but deposit sample titles explicitly identify pig (PooledPig-*), not chicken.	Extensive microbial diversity within the chicken gut microbiome revealed by metagenomics and culture.	
PRJNA278393	host_mismatch; multihost_issue	paper: homeothermic animals (plural, diverse species implied by 'guts of homeothermic animals') vs deposit: Homo sapiens			Paper abstract and title refer to 'homeothermic animals' (plural); deposit host field shows only 'Homo sapiens'. The paper's framing ('inhabiting the guts of homeothermic animals') implies multiple host species were sampled, but the deposit metadata lists only a single host species.	The paper describes a multi-species study of Bacteroidales S24-7 from 'homeothermic animals' but the deposit metadata records only Homo sapiens as the host, indicating either incomplete metadata capture or a genuine mismatch in study scope.	Genomic characterization of the uncultured Bacteroidales family S24-7 inhabiting the guts of homeothermic animals.	Homo sapiens
PRJEB81717	multihost_issue				Host field lists 'Papio cynocephalus and P. anubis' — two distinct host species. Paper presents wild baboons as a single group without specifying multiple species.	Multi-host issue detected: deposit names two distinct Papio species while paper treats baboons as a single host group.	Eukaryotic composition across seasons and social groups in the gut microbiota of wild baboons.	Papio cynocephalus and P. anubis
PRJNA1415237	host_missing		paper names: elephant (primary sampling source); deposit blank/generic			Host missing: deposit host field is blank despite paper explicitly sampling from elephant gut microbiome, creating a metadata gap.	Elephant-derived Bacillus licheniformis modulates immune cells shedding light on cancer resistance.	
