study_accession	keep	gut	gut_conf	body_site	host_verdict	host	is_human	method_note	n_wgs_samples	library_source	llm_notes
PRJEB58441	KEEP	yes	high	gut_explicit	unclear	unknown	False	agree	587	METAGENOMIC	GUT: yes (high) — Isolation source explicitly states 'Feces'; biome label 'feces metagenome'; library_source 'METAGENOMIC' indicates community DNA from gut; 587 WGS samples of metagenomic origin || BODY_SITE: gut_explicit — Host field: 'feces metagenome'; isolation source: 'Feces'; sample titles consistently reference 'Metagenome-faeces' || HOST: unknown [unclear] — No host species information provided in any metadata field (host species = 0 distinct); sample titles reference project ID 'PRJ1151' and institution prefix 'DTU2018' but no organism name; cannot determine if single or multiple hosts || METHOD: agree — library_strategy_mix shows WGS:587 matching WGS/shotgun sample count of 587; library_source 'METAGENOMIC' is appropriate for fecal community DNA; no contradiction between stated method and ENA fields || SUMMARY: This is a genuine fecal metagenomics study (gut_explicit, WGS shotgun sequencing of community DNA). However, the host organism is completely unspecified in the provided metadata, making it impossible to determine if this is a single-host or multi-host comparative study. The study qualifies as a valid animal gut microbiome investigation based on source and method alone.
PRJNA385134	KEEP	yes	high	gut_explicit	single_clear	Mus musculus	False	agree	26	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'murine microbiome', isolation source is 'feces', library_source is 'METAGENOMIC' (community DNA), and biome label includes 'viral metagenome'. This is a genuine animal gut microbiome study using shotgun metagenomics. || BODY_SITE: gut_explicit — Isolation source field explicitly states 'feces'. Paper title mentions 'faecal viral transfer (FVT)' and abstract discusses 'murine microbiome'. Feces is unambiguously gut-derived. || HOST: Mus musculus [single_clear] — Host field explicitly lists 'Mus musculus'; host species in samples confirms '1 distinct' species (Mus musculus). Sample titles (V10_m1, V11_m1, etc.) appear to reference individual mice from a single-host experimental design studying FVT effects post-antibiotic treatment. || METHOD: agree — ENA records show library_strategy_mix includes WGS (26 samples), library_source is METAGENOMIC, and isolation source is feces. This aligns with the paper title describing a faecal viral transfer study using shotgun metagenomics on murine samples. || SUMMARY: This is a well-documented single-host (Mus musculus), gut-based (feces), shotgun metagenomic study investigating viral community effects on the murine microbiome following antibiotic perturbation. All four criteria are clearly supported by explicit evidence with high confidence.
PRJEB40719	KEEP	yes	high	gut_explicit	single_clear	Mus musculus (mouse)	False	agree	31	METAGENOMIC	GUT: yes (high) — Biome label states 'mouse gut metagenome'; body site explicitly labeled 'mouse-gut'; library_source is 'METAGENOMIC' (community DNA); 31 WGS shotgun samples consistent with metagenomic study design. || BODY_SITE: gut_explicit — Body site field explicitly states 'mouse-gut'; biome label 'mouse gut metagenome'; sample titles confirm 'mouse gut metagenome'. || HOST: Mus musculus (mouse) [single_clear] — Biome label, body site field, and sample titles all consistently identify 'mouse' as the host; no evidence of multiple distinct host species or incidental sampling. || METHOD: agree — WGS/shotgun strategy (31 samples) matches library_strategy_mix data; METAGENOMIC source appropriate for gut microbiome community DNA; no contradictions between labeled method and ENA fields. || SUMMARY: This is a straightforward mouse gut metagenome study with consistent labeling across all available metadata fields. All 31 samples are WGS-based shotgun metagenomic sequencing of mouse gut communities.
PRJNA715658	KEEP	yes	high	gut_explicit	single_clear	Gallus gallus	False	agree	751	METAGENOMIC	GUT: yes (high) — Title: 'Genome-Resolved Metagenomics of the Chicken Gut Microbiome'. Abstract explicitly states 'chicken gastrointestinal microbiota' and describes metagenomic analysis of MAGs from gut samples. Biome label: 'gut metagenome'. Sample titles: 'MIMS Environmental/Metagenome sample from gut metagenome'. || BODY_SITE: gut_explicit — Paper title explicitly names 'Chicken Gut Microbiome'. Biome label field states 'gut metagenome'. Sample titles reference 'gut metagenome'. Abstract discusses 'chicken gastrointestinal microbiota'. || HOST: Gallus gallus [single_clear] — Host field: 'Gallus gallus' (domestic chicken). Host species in samples lists 1 distinct species: 'Gallus gallus'. Title and abstract both refer to 'chicken'. No multi-host comparison stated; study is focused on a single host species. || METHOD: agree — ENA library_strategy_mix shows 'WGS:751' (751 WGS/shotgun samples). Library_source is 'METAGENOMIC' (community DNA, not single organism genome), consistent with metagenomics study. Title and abstract describe metagenome-assembled genomes (MAGs) derived from shotgun sequencing of chicken gut samples, aligning with WGS metagenomics methodology. || SUMMARY: This is a straightforward, single-host animal gut metagenomics study of chicken (Gallus gallus) using shotgun WGS sequencing. All four criteria show consistent, explicit evidence of genuine gut microbiome analysis with no contradictions or ambiguities.
PRJNA1405988	KEEP	yes	high	gut_explicit	single_clear	Sus scrofa	False	agree	64	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'pig gut metagenome'; library_source is METAGENOMIC (community DNA); 64 WGS samples indicate shotgun sequencing of microbial community, not host genome. || BODY_SITE: gut_explicit — Biome label field states 'pig gut metagenome'; no conflicting body site information provided. || HOST: Sus scrofa [single_clear] — Host field and host species in samples both uniformly specify Sus scrofa (domestic pig); 64 samples all from same species; no multi-host design indicated. || METHOD: agree — ENA fields show library_strategy_mix WGS:64 and library_source METAGENOMIC, consistent with shotgun metagenomics of gut microbial community; no contradictions detected. || SUMMARY: This is a straightforward single-host pig gut microbiome shotgun sequencing study with 64 WGS metagenomic samples. All metadata fields (biome label, host, library strategy, source) consistently indicate a genuine animal gut microbiome study.
PRJNA595610	KEEP	yes	high	gut_explicit	single_clear	Sheep (Ovis aries)	False	agree	1	METAGENOMIC	GUT: yes (high) — Sample titled 'Sheep fecal metagenome sample from parasite-infected wether'; isolation source explicitly states 'fecal material'; library_source is METAGENOMIC (community DNA, not host genome); WGS shotgun strategy confirmed. || BODY_SITE: gut_explicit — Host field labeled 'feces metagenome'; isolation source 'fecal material'; sample title specifies 'fecal metagenome'; biome label 'feces metagenome'. || HOST: Sheep (Ovis aries) [single_clear] — Sample title explicitly identifies host as 'wether' (castrated male sheep); single fecal metagenome sample from one animal. || METHOD: agree — WGS/shotgun metagenomics (library_strategy_mix: WGS:1) aligns with fecal metagenome sampling described in sample title and biome label. || SUMMARY: This is a straightforward single-host sheep gut microbiome study using WGS metagenomics on fecal material from a parasite-infected wether. All metadata fields are consistent and explicit.
PRJDB1459	KEEP	yes	high	gut_explicit	single_clear	mouse	False	agree	1	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'mouse gut metagenome'; sample title indicates 'fecal sample' which is a standard gut microbiome collection method; library_source is METAGENOMIC (community DNA), consistent with microbiome analysis. || BODY_SITE: gut_explicit — Biome label: 'mouse gut metagenome'; sample title: 'fecal sample from...mouse' – feces are gut-derived material and unambiguously indicate gut microbiome sampling. || HOST: mouse [single_clear] — Sample title identifies 'mouse A4' as the host; biome label confirms 'mouse gut metagenome'; single WGS sample from one individual mouse (identified as 'A4'). || METHOD: agree — ENA fields show WGS (shotgun metagenomics) with library_source METAGENOMIC, which aligns with shotgun metagenomic analysis of a fecal sample – the standard molecular approach for gut microbiome surveys. || SUMMARY: This is a straightforward single-host mouse gut microbiome study using shotgun sequencing of fecal material. All metadata elements (biome label, sample title, library strategy) are internally consistent and support classification as a genuine animal (non-human) gut microbiome study.
PRJNA475246	KEEP	yes	high	gut_inferred	single_clear	Homo sapiens (infants)	True	agree	286	METAGENOMIC	GUT: yes (high) — Paper title and abstract explicitly state 'gut carriage of resistance genes' and 'microbial carbohydrate metabolism during early life' in infants. Host field: Homo sapiens. The study is a genuine animal (human) gut microbiome study using WGS of community DNA from gut samples. || BODY_SITE: gut_inferred — Title mentions 'gut carriage' and 'gut microbiome' context is implicit in the study of infant microbial metabolism. Body site field is empty, but sample titles (e.g., 'M0018-Child:1 month') combined with the explicit focus on gut resistance genes and carbohydrate metabolism in the abstract strongly infers gut origin. No non-gut sites mentioned. || HOST: Homo sapiens (infants) [single_clear] (HUMAN) — Host field explicitly states 'Homo sapiens'. Sample titles reference 'Child' at multiple timepoints (birth, 14 days, 1 month, 2 months, 3 months), indicating longitudinal sampling from infant(s). Title states 'Infant age inversely correlates', confirming human infants as the sole host. No multi-host comparison or incidental sampling indicated. || METHOD: agree — ENA fields document 286 WGS/shotgun samples with library_source = METAGENOMIC (community DNA). Paper title and abstract are consistent with shotgun metagenomic sequencing of infant gut microbiota. No mismatch between stated method and metadata. || SUMMARY: This is a valid human gut microbiome study using WGS shotgun metagenomics to profile infant gut microbial composition and resistance gene carriage over the first months of life. The host is a single infant (or small cohort of infants) sampled longitudinally, with 286 shotgun metagenomic samples.
PRJNA389927	KEEP	yes	high	gut_explicit	single_clear	Homo sapiens	True	agree	181	METAGENOMIC	GUT: yes (high) — Paper title states 'human gut microbiome'; abstract describes 'Diversity and distribution of sulfur metabolic genes in the human gut microbiome'; isolation source explicitly 'stool'; biome label 'gut metagenome'; sample titles reference 'gut metagenome'. Humans are animals; gut microbiome studies on human subjects are valid animal gut studies. || BODY_SITE: gut_explicit — Isolation source field states 'stool'; biome label explicitly 'gut metagenome'; paper title and sample titles both reference 'gut'; body site inferred as gut from isolation source descriptor. || HOST: Homo sapiens [single_clear] (HUMAN) — Host field: 'Homo sapiens'; host species in samples (1 distinct): 'Homo sapiens'; paper title explicitly 'human gut microbiome'; no indication of multi-host comparative study—single host species across 181 samples. || METHOD: agree — ENA library_strategy_mix shows 'WGS:181' (181 whole-genome shotgun samples); library_source 'METAGENOMIC' confirms community DNA sequencing; paper focuses on metagenomic analysis of gut microbiome diversity and gene content. Method (shotgun metagenomics of gut stool) aligns with ENA descriptor. || SUMMARY: This is a legitimate human gut microbiome study using shotgun (WGS) metagenomics of 181 stool samples. Humans count as animals under the audit criteria; the human gut microbiome verdict is therefore 'yes'. All four criteria are clearly evidenced and consistent.
PRJDB16260	KEEP	yes	high	gut_explicit	multi_host	Homo sapiens	True	agree	250	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'human gut metagenome'; sample titles confirm 'gut microbiomes isolated from feces' of human patients; library_source is METAGENOMIC (community DNA), not GENOMIC || BODY_SITE: gut_explicit — Sample titles explicitly state 'gut microbiomes isolated from feces'; biome label 'human gut metagenome' is unambiguous || HOST: Homo sapiens [multi_host] (HUMAN) — Host field lists Homo sapiens; sample titles identify multiple distinct Japanese patients (10002_1, 10002_4, 10125_2, etc.); this is a comparative study of multiple individuals' gut microbiomes, not an incidental sample || METHOD: agree — 250 WGS/shotgun samples with library_strategy_mix reporting 'WGS:250' and library_source 'METAGENOMIC' are consistent with metagenomic shotgun sequencing of gut samples || SUMMARY: This is a multi-patient human gut metagenomics study using whole-genome shotgun sequencing of fecal samples from Japanese patients. All four criteria align: it is a valid animal (human) gut microbiome study, samples are explicitly from gut (feces), hosts are multiple human individuals, and methods match the WGS metagenomic designation.
PRJNA782061	KEEP	yes	high	gut_explicit	single_clear	Ctenopharyngodon idella (grass carp)	False	agree	6	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'fish gut metagenome'; isolation source states 'Gut sample of grass carp'; sample titles reference 'fish gut metagenome'; library_source is METAGENOMIC (community DNA, not host genome). || BODY_SITE: gut_explicit — Isolation source field explicitly states 'Gut sample of grass carp'; biome label is 'fish gut metagenome'; sample titles state 'fish gut metagenome'. || HOST: Ctenopharyngodon idella (grass carp) [single_clear] — Host field lists 'Ctenopharyngodon idella'; isolation source confirms 'grass carp' (common name for this species); all 6 WGS samples are from this single host species with no indication of multiple hosts or incidental sampling. || METHOD: agree — ENA shows library_strategy_mix of WGS:6 (6 whole-genome shotgun samples), library_source METAGENOMIC, and all 6 samples are explicitly labeled as metagenomes from fish gut; this aligns with the stated isolation source and biome label. || SUMMARY: This is a straightforward, single-host animal gut metagenomics study of grass carp (Ctenopharyngodon idella) with 6 WGS metagenomic samples explicitly sourced from gut tissue. No conflicts or ambiguities detected.
PRJNA398089	KEEP	yes	high	gut_explicit	single_clear	Homo sapiens	True	agree	2041	METAGENOMIC	GUT: yes (high) — Title explicitly states 'gut microbiome in inflammatory bowel disease patients'; biome label 'human gut metagenome'; isolation sources are all gut locations (ascending colon, cecum, descending colon, ileum, rectum, sigmoid colon, transverse colon); library_source is METAGENOMIC (community DNA). Humans are animals; human gut microbiome studies are valid animal gut studies per instructions. || BODY_SITE: gut_explicit — Isolation sources explicitly list multiple gastrointestinal tract locations: 'Ascending (right-sided) colon; Cecum; Descending (left-sided) colon; Ileum; Rectum; Sigmoid Colon; Transverse colon'. Biome label includes 'human gut metagenome'. || HOST: Homo sapiens [single_clear] (HUMAN) — Host field explicitly states 'Homo sapiens'; host species in samples shows '1 distinct' species with only 'Homo sapiens' listed. This is a meta-analysis of inflammatory bowel disease patients (human subjects), not a multi-host comparative survey. || METHOD: agree — Study is described as a meta-analysis of gut microbiome; ENA metadata shows WGS/shotgun sample count of 2,041 with library_strategy_mix including WGS:2041, consistent with shotgun metagenomics. Library_source is METAGENOMIC, appropriate for community DNA from gut samples. || SUMMARY: This is a high-confidence human gut microbiome meta-analysis study with explicit gut isolation sources (multiple colon and small intestine sites) and clear metagenomic shotgun sequencing. The single host (Homo sapiens) with no incidental multi-host sampling makes this a straightforward, valid animal gut WGS metagenomics study.
PRJNA1108401	KEEP	yes	high	gut_explicit	single_clear	Misgurnus anguillicaudatus	False	agree	1	METAGENOMIC	GUT: yes (high) — Host field states 'fish gut metagenome'; isolation source explicitly states 'Misgurnus anguillicaudatus intestine'; library_source is METAGENOMIC (community DNA); sample titles reference 'Bacterial community of intestine Metagenome'. This is a genuine animal gut microbiome study. || BODY_SITE: gut_explicit — Isolation source: 'Misgurnus anguillicaudatus intestine infected by Aeromonas Veronii'; Host field: 'fish gut metagenome'; sample titles: 'Bacterial community of intestine Metagenome'. The intestine (gut) is explicitly stated. || HOST: Misgurnus anguillicaudatus [single_clear] — Isolation source names a single fish species: 'Misgurnus anguillicaudatus intestine infected by Aeromonas Veronii'. This is the oriental weatherfish, a single host organism. One WGS sample from this host. || METHOD: agree — library_strategy_mix shows WGS:1 (one shotgun/WGS sample); library_source is METAGENOMIC (appropriate for community DNA from gut); biome label and isolation source both reference fish gut microbiome. ENA metadata consistent with stated metagenomics approach. || SUMMARY: This is a straightforward single-host fish gut metagenomics study of Misgurnus anguillicaudatus (loach) intestinal microbiota, specifically examining bacterial community composition in an Aeromonas veronii infection context. Metadata are internally consistent and confirm gut origin.
PRJNA903767	KEEP	yes	high	gut_explicit	single_clear	Ochotona curzoniae	False	agree	34	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'feces metagenome'; library_source is METAGENOMIC (community DNA); 34 WGS shotgun samples; host is Ochotona curzoniae (Plateau pika, a mammal). Fecal metagenomics is a standard proxy for gut microbiome composition. || BODY_SITE: gut_explicit — Biome label field explicitly designates 'feces metagenome', which represents gut-derived material. || HOST: Ochotona curzoniae [single_clear] — Host field states 'Ochotona curzoniae'; host species in samples shows 1 distinct species matching the host field; all 34 samples derive from this single taxon (Plateau pika). || METHOD: agree — ENA fields confirm WGS/shotgun strategy (34 samples), METAGENOMIC library source (community DNA), and fecal origin consistent with gut microbiome methodology. || SUMMARY: This is a genuine, single-host animal gut microbiome study using shotgun metagenomics of fecal samples from 34 Ochotona curzoniae individuals. All criteria align consistently with a well-designed comparative or population-level gut microbiome survey.
PRJNA926485	KEEP	yes	high	gut_explicit	single_clear	Sus scrofa domesticus	False	agree	23	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'pig gut metagenome'; library_source is METAGENOMIC (community DNA, not single organism); 23 WGS shotgun samples; host is Sus scrofa domesticus (domestic pig), a non-human animal. || BODY_SITE: gut_explicit — Biome label explicitly states 'pig gut metagenome'; this is the primary and only body site descriptor provided. || HOST: Sus scrofa domesticus [single_clear] — Host field specifies 'Sus scrofa domesticus' (domestic pig); host species in samples shows 1 distinct species matching this; all 23 samples derive from this single host species; no evidence of multi-host study or incidental sampling. || METHOD: agree — WGS/shotgun strategy confirmed (23 WGS samples); library_source METAGENOMIC confirms community DNA sequencing appropriate for gut microbiome; no contradictions between ENA fields and stated metagenomics approach. || SUMMARY: This is a straightforward, single-host pig gut metagenomics study with 23 shotgun WGS samples. All metadata consistently point to Sus scrofa domesticus gut microbiome as the focus, with no evidence of incidental sampling or methodological inconsistencies.
PRJNA1283350	KEEP	yes	high	gut_explicit	multi_host	Gallus gallus (chicken)	False	agree	48	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'Gut microbiota-derived taurolithocholic acid' and the study examines microbiota differences between two chicken breeds. Abstract confirms focus on gut microbiota composition and its functional role in myofiber-type switching. || BODY_SITE: gut_explicit — Paper title and abstract both explicitly reference 'gut microbiota' as the primary focus of investigation. || HOST: Gallus gallus (chicken) [multi_host] — Paper title explicitly states a comparative study 'between Arbor Acres and Taoyuan chickens' – two distinct chicken breeds are the subjects of investigation, making this a multi-host comparative study rather than a single-host study. || METHOD: agree — ENA records show library_strategy_mix of WGS (48 samples), library_source METAGENOMIC, and 48 WGS/shotgun samples. This aligns with a shotgun metagenomic study of gut microbiota from multiple chicken samples as described in the paper. || SUMMARY: This is a valid animal gut microbiome study using shotgun metagenomics to compare gut microbial composition between two chicken breeds. The study design is a genuine comparative multi-host investigation, not an incidental survey, with clear focus on gut-derived microbial communities.
